feature_idx,feature_name,feature_value,feature_weight,contribution,abs_contribution,direction,model,fingerprint,protocol,fold,model_short,smiles,category,true_label,pred_ood,pred_random
276,ecfp4_feature_276,1.0,-0.6438484512898914,-0.6438484512898914,0.6438484512898914,toward_inactive,Logistic Regression,ecfp4,OOD holdout,1,lr,COc1cc(OC)cc(N(Cc2ccccc2Cl)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,both_correct,False,0.0149723415999906,0.4980879380698464
118,ecfp4_feature_118,1.0,-0.5914951495492423,-0.5914951495492423,0.5914951495492423,toward_inactive,Logistic Regression,ecfp4,OOD holdout,1,lr,COc1cc(OC)cc(N(Cc2ccccc2Cl)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,both_correct,False,0.0149723415999906,0.4980879380698464
275,ecfp4_feature_275,1.0,0.581061473571238,0.581061473571238,0.581061473571238,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,COc1cc(OC)cc(N(Cc2ccccc2Cl)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,both_correct,False,0.0149723415999906,0.4980879380698464
325,ecfp4_feature_325,1.0,-0.45286140415408743,-0.45286140415408743,0.45286140415408743,toward_inactive,Logistic Regression,ecfp4,OOD holdout,1,lr,COc1cc(OC)cc(N(Cc2ccccc2Cl)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,both_correct,False,0.0149723415999906,0.4980879380698464
168,ecfp4_feature_168,1.0,-0.43017718095297364,-0.43017718095297364,0.43017718095297364,toward_inactive,Logistic Regression,ecfp4,OOD holdout,1,lr,COc1cc(OC)cc(N(Cc2ccccc2Cl)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,both_correct,False,0.0149723415999906,0.4980879380698464
194,ecfp4_feature_194,1.0,-0.39890891463478406,-0.39890891463478406,0.39890891463478406,toward_inactive,Logistic Regression,ecfp4,OOD holdout,1,lr,COc1cc(OC)cc(N(Cc2ccccc2Cl)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,both_correct,False,0.0149723415999906,0.4980879380698464
841,ecfp4_feature_841,1.0,0.3797768901736853,0.3797768901736853,0.3797768901736853,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,COc1cc(OC)cc(N(Cc2ccccc2Cl)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,both_correct,False,0.0149723415999906,0.4980879380698464
378,ecfp4_feature_378,1.0,0.33517934879599487,0.33517934879599487,0.33517934879599487,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,COc1cc(OC)cc(N(Cc2ccccc2Cl)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,both_correct,False,0.0149723415999906,0.4980879380698464
191,ecfp4_feature_191,1.0,0.30578460888894293,0.30578460888894293,0.30578460888894293,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,COc1cc(OC)cc(N(Cc2ccccc2Cl)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,both_correct,False,0.0149723415999906,0.4980879380698464
960,ecfp4_feature_960,1.0,0.29889757749625195,0.29889757749625195,0.29889757749625195,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,COc1cc(OC)cc(N(Cc2ccccc2Cl)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,both_correct,False,0.0149723415999906,0.4980879380698464
43,ecfp4_feature_43,1.0,0.2917910081070676,0.2917910081070676,0.2917910081070676,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,COc1cc(OC)cc(N(Cc2ccccc2Cl)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,both_correct,False,0.0149723415999906,0.4980879380698464
