model,model_short,fingerprint,protocol,inner_mean,inner_std,inner_train_mean,inner_train_std,train_mean,train_std,test_mean,test_std,inner_test_gap_mean,inner_test_gap_std,train_test_gap_mean,train_test_gap_std,model_order,fingerprint_order,protocol_order
Decision Tree,DT,ECFP4,OOD holdout,0.8502903680806804,0.05925447302952828,0.9624519751943678,0.017246229841692783,0.8410666666666667,0.24526810500620203,0.9423,0.031077162032592434,-0.09200963191931966,0.0582977324870948,-0.10123333333333336,0.24797020654371632,0,0,0
Decision Tree,DT,ECFP4,Random shuffle,0.7895031129744788,0.3335874858487134,0.8825384622524878,0.1832262815037943,0.8508,0.23443384994492583,0.6488666666666667,0.08835102338588573,0.14063644630781214,0.41474188785767874,0.20193333333333338,0.3159770614037249,0,0,1
Decision Tree,DT,MACCS,OOD holdout,0.8503250306969142,0.03309714048058555,0.9534770249337869,0.010804189126254849,0.8512,0.24214202444020327,0.9456333333333333,0.008938866445659279,-0.09530830263641905,0.036851748486423405,-0.09443333333333333,0.24807217363770032,0,1,0
Decision Tree,DT,MACCS,Random shuffle,0.7836904078938738,0.3232013528599218,0.8393868203181913,0.2588736246064912,0.8156666666666667,0.29543064047815576,0.6062,0.10517485440921705,0.1774904078938738,0.42705692364580494,0.20946666666666666,0.3988889736923463,0,1,1
Logistic Regression,LR,ECFP4,OOD holdout,0.8676427568614616,0.05211456216453757,0.9726211725047605,0.004160017113019161,0.8698,0.2087414668914636,0.9563,0.010875201147565029,-0.08865724313853829,0.06291938346545325,-0.08649999999999998,0.21884508219286078,1,0,0
Logistic Regression,LR,ECFP4,Random shuffle,0.7793135452656506,0.34571497945313134,0.9676697945529359,0.040323199119920224,0.9677000000000001,0.0388390267643256,0.6664,0.06327155759106937,0.11291354526565056,0.39154025042375246,0.30129999999999996,0.0963251265247028,1,0,1
Logistic Regression,LR,MACCS,OOD holdout,0.7872918971419732,0.05389311673509749,0.8879808932589377,0.006913614752989581,0.6962,0.4197146173294421,0.8431000000000001,0.037375928082122575,-0.05580810285802673,0.0852433987182883,-0.1469,0.4560581980405571,1,1,0
Logistic Regression,LR,MACCS,Random shuffle,0.7681417947233244,0.3553695932775307,0.8125175988186015,0.28949040159340605,0.8152333333333334,0.28439439750693635,0.6104666666666666,0.11356761568921547,0.15767512805665784,0.4689261625863371,0.20476666666666665,0.3979565596058612,1,1,1
Logistic Regression,LR,RDKit desc,OOD holdout,0.8073194665704545,0.04402683118441589,0.9185229811055885,0.006952497521697692,0.7336,0.38451708674647994,0.8775666666666666,0.02945001414827056,-0.07024720009621221,0.062300742303997056,-0.1439666666666667,0.4098441939729454,1,2,0
Logistic Regression,LR,RDKit desc,Random shuffle,0.7999503474935672,0.3021645198834571,0.9535016782444868,0.05562249051048815,0.9469333333333333,0.06416715151331973,0.6578333333333334,0.07879634086258917,0.14211701416023384,0.3787898758075885,0.28909999999999997,0.1399818559671217,1,2,1
Linear SVM,SVM,ECFP4,OOD holdout,0.8681657373558181,0.04548135875276158,0.9705097221942297,0.003973261746952069,0.8513000000000001,0.22531784216967815,0.9440333333333334,0.009346835471609279,-0.0758675959775152,0.05477136406014641,-0.09273333333333329,0.2346048237639911,2,0,0
Linear SVM,SVM,ECFP4,Random shuffle,0.7863652464046146,0.3371324277824519,0.9447064890454359,0.076489887684134,0.9338666666666667,0.09429916931412134,0.6943333333333334,0.05308166664050149,0.09203191307128127,0.3881834210076111,0.23953333333333335,0.14612413672399682,2,0,1
Linear SVM,SVM,MACCS,OOD holdout,0.7848945056237332,0.051710940976751246,0.8865651260268105,0.011978441457190353,0.7149333333333333,0.367349769747217,0.8339,0.03709595665298308,-0.04900549437626667,0.07993971816185758,-0.11896666666666667,0.4013493033921117,2,1,0
Linear SVM,SVM,MACCS,Random shuffle,0.7659027275017524,0.36201214112977803,0.8144131098282577,0.2942308815923532,0.8150000000000001,0.2890012975749417,0.5840333333333333,0.1440553481594256,0.18186939416841907,0.5060418082282402,0.23096666666666668,0.43285152573755975,2,1,1
