protocol,fingerprint,fold,C,class_weight,inner_pr_auc,test_pr_auc
OOD holdout,ECFP4,1,0.05,balanced,0.8853,0.9393
OOD holdout,ECFP4,2,0.05,balanced,0.8166,0.9548
OOD holdout,ECFP4,3,0.05,balanced,0.9026,0.938
Random shuffle,ECFP4,1,0.01,,0.9936,0.6479
Random shuffle,ECFP4,2,0.01,,0.3974,0.7522
Random shuffle,ECFP4,3,0.001,balanced,0.9682,0.6829
OOD holdout,MACCS,1,0.05,balanced,0.8364,0.8285
OOD holdout,MACCS,2,50.0,balanced,0.733,0.8734
OOD holdout,MACCS,3,0.1,,0.7853,0.7998
Random shuffle,MACCS,1,2.0,,0.9722,0.5052
Random shuffle,MACCS,2,2.0,balanced,0.3479,0.7503
Random shuffle,MACCS,3,0.005,balanced,0.9776,0.4966
