model,fingerprint,protocol,fold,C,l1_ratio,class_weight,n_nonzero_coefficients,sparsity,l1_norm,l2_norm,inner_pr_auc,test_pr_auc,inner_test_gap,train_test_gap
Logistic Regression,ECFP4,OOD holdout,1,0.1,0.0,balanced,1024.0,0.0,184.2143961929944,7.266730189502175,0.8840998974588312,0.9544,-0.07030010254116881,0.03939999999999999
Logistic Regression,ECFP4,OOD holdout,2,0.1,0.0,balanced,1024.0,0.0,181.68182091828848,7.144868327688647,0.8092863551502746,0.968,-0.1587136448497254,-0.33919999999999995
Logistic Regression,ECFP4,OOD holdout,3,0.1,0.0,,1024.0,0.0,190.0275052291542,7.5157838994780475,0.9095420179752793,0.9465,-0.03695798202472067,0.0403
Logistic Regression,ECFP4,Random shuffle,1,0.1,0.0,,886.0,0.134765625,49.88948903482451,2.4118499744967608,0.9898595909441292,0.5947,0.3951595909441292,0.4012
Logistic Regression,ECFP4,Random shuffle,2,1.0,0.25,,298.0,0.708984375,73.31090576997534,5.7072867508086365,0.38032021498215907,0.7144,-0.33407978501784097,0.20899999999999996
Logistic Regression,ECFP4,Random shuffle,3,0.005,0.0,,846.0,0.173828125,5.789614250126512,0.34838841295979406,0.9677608298706635,0.6901,0.27766082987066343,0.29369999999999996
Logistic Regression,MACCS,OOD holdout,1,0.1,0.25,balanced,110.0,0.3413173652694611,28.725754507295427,3.4992029939800697,0.8408045115323325,0.8307,0.010104511532332494,0.11350000000000005
Logistic Regression,MACCS,OOD holdout,2,0.5,0.0,balanced,150.0,0.10179640718562877,51.61230833555345,5.45213061320673,0.7330261714277776,0.8851,-0.1520738285722224,-0.6735
Logistic Regression,MACCS,OOD holdout,3,0.05,0.5,,77.0,0.5389221556886228,16.090594438812793,2.54123014671423,0.7880450084658097,0.8135,-0.025454991534190285,0.11929999999999996
Logistic Regression,MACCS,Random shuffle,1,1.0,1.0,,47.0,0.718562874251497,30.954637702456147,6.0634288948792925,0.9701159009564164,0.5441,0.4260159009564164,0.4406
Logistic Regression,MACCS,Random shuffle,2,1.0,1.0,balanced,54.0,0.6766467065868264,46.58972247123806,9.15963313825235,0.35781287063754597,0.7416,-0.38378712936245407,-0.25470000000000004
Logistic Regression,MACCS,Random shuffle,3,0.01,0.0,balanced,140.0,0.16167664670658688,5.630318690297679,0.6754285139899303,0.9764966125760112,0.5457,0.4307966125760112,0.4284
Logistic Regression,RDKit desc,OOD holdout,1,1.0,0.0,balanced,205.0,0.055299539170506895,66.7246834616085,6.751140097786365,0.8535561471870436,0.8776,-0.0240438528129564,0.08949999999999991
Logistic Regression,RDKit desc,OOD holdout,2,5.0,0.0,balanced,205.0,0.055299539170506895,75.55351628326935,7.635538677465588,0.7658984245951737,0.907,-0.14110157540482637,-0.6172
Logistic Regression,RDKit desc,OOD holdout,3,0.5,0.0,,205.0,0.055299539170506895,54.2713899435813,5.316086726714038,0.8025038279291461,0.8481,-0.04559617207085387,0.0958
Logistic Regression,RDKit desc,Random shuffle,1,0.5,0.5,balanced,91.0,0.5806451612903225,24.605191551395635,3.7279119483335026,0.9916841602291873,0.6294,0.3622841602291873,0.3669
Logistic Regression,RDKit desc,Random shuffle,2,0.5,0.0,,181.0,0.16589861751152069,34.20302309039088,3.3056994950128997,0.45163145387511816,0.7469,-0.29526854612488185,0.12749999999999995
Logistic Regression,RDKit desc,Random shuffle,3,0.05,0.5,,22.0,0.8986175115207373,1.9375279860394536,0.5654545950580314,0.956535428376396,0.5972,0.3593354283763961,0.3729
