feature_idx,feature_name,tree_importance,minimum_depth,used_in_tree,normalized_tree_importance,rank_tree_importance,model,model_short,fingerprint,protocol,fold,inner_pr_auc,inner_train_pr_auc,train_pr_auc,test_pr_auc,importance,raw_importance,abs_importance,rank,raw_weight,abs_weight,normalized_abs_importance,direction,rank_abs_weight,top_k
703,ecfp4_bit_703,0.052997394169231,9.0,True,0.052997394169231,1.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.8628534344864465,0.9511324673653343,0.9783,0.9105,0.052997394169231,0.052997394169231,0.052997394169231,1,,,,,,10
528,ecfp4_bit_528,0.0502916498381275,0.0,True,0.0502916498381275,2.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.8628534344864465,0.9511324673653343,0.9783,0.9105,0.0502916498381275,0.0502916498381275,0.0502916498381275,2,,,,,,10
736,ecfp4_bit_736,0.0390573817006185,3.0,True,0.0390573817006185,3.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.8628534344864465,0.9511324673653343,0.9783,0.9105,0.0390573817006185,0.0390573817006185,0.0390573817006185,3,,,,,,10
464,ecfp4_bit_464,0.0281962330813914,7.0,True,0.0281962330813914,4.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.8628534344864465,0.9511324673653343,0.9783,0.9105,0.0281962330813914,0.0281962330813914,0.0281962330813914,4,,,,,,10
298,ecfp4_bit_298,0.0249365342089673,2.0,True,0.0249365342089673,5.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.8628534344864465,0.9511324673653343,0.9783,0.9105,0.0249365342089673,0.0249365342089673,0.0249365342089673,5,,,,,,10
397,ecfp4_bit_397,0.0233044555757217,5.0,True,0.0233044555757217,6.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.8628534344864465,0.9511324673653343,0.9783,0.9105,0.0233044555757217,0.0233044555757217,0.0233044555757217,6,,,,,,10
957,ecfp4_bit_957,0.0220884478663357,7.0,True,0.0220884478663357,7.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.8628534344864465,0.9511324673653343,0.9783,0.9105,0.0220884478663357,0.0220884478663357,0.0220884478663357,7,,,,,,10
619,ecfp4_bit_619,0.0214988894692924,10.0,True,0.0214988894692924,8.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.8628534344864465,0.9511324673653343,0.9783,0.9105,0.0214988894692924,0.0214988894692924,0.0214988894692924,8,,,,,,10
832,ecfp4_bit_832,0.020006066341545,6.0,True,0.020006066341545,9.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.8628534344864465,0.9511324673653343,0.9783,0.9105,0.020006066341545,0.020006066341545,0.020006066341545,9,,,,,,10
781,ecfp4_bit_781,0.0188161979807002,4.0,True,0.0188161979807002,10.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.8628534344864465,0.9511324673653343,0.9783,0.9105,0.0188161979807002,0.0188161979807002,0.0188161979807002,10,,,,,,10
873,ecfp4_bit_873,0.1493068642605016,2.0,True,0.1493068642605016,1.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.7857617783352532,0.9539225078253246,0.5579,0.9438,0.1493068642605016,0.1493068642605016,0.1493068642605016,1,,,,,,10
528,ecfp4_bit_528,0.0500065946703175,0.0,True,0.0500065946703175,2.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.7857617783352532,0.9539225078253246,0.5579,0.9438,0.0500065946703175,0.0500065946703175,0.0500065946703175,2,,,,,,10
588,ecfp4_bit_588,0.0434263348855015,1.0,True,0.0434263348855015,3.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.7857617783352532,0.9539225078253246,0.5579,0.9438,0.0434263348855015,0.0434263348855015,0.0434263348855015,3,,,,,,10
713,ecfp4_bit_713,0.034816142496543,3.0,True,0.034816142496543,4.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.7857617783352532,0.9539225078253246,0.5579,0.9438,0.034816142496543,0.034816142496543,0.034816142496543,4,,,,,,10
881,ecfp4_bit_881,0.0289580012594201,4.0,True,0.0289580012594201,5.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.7857617783352532,0.9539225078253246,0.5579,0.9438,0.0289580012594201,0.0289580012594201,0.0289580012594201,5,,,,,,10
621,ecfp4_bit_621,0.0260386253841493,7.0,True,0.0260386253841493,6.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.7857617783352532,0.9539225078253246,0.5579,0.9438,0.0260386253841493,0.0260386253841493,0.0260386253841493,6,,,,,,10
64,ecfp4_bit_64,0.01952692871888,5.0,True,0.01952692871888,7.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.7857617783352532,0.9539225078253246,0.5579,0.9438,0.01952692871888,0.01952692871888,0.01952692871888,7,,,,,,10
674,ecfp4_bit_674,0.0179158978707686,1.0,True,0.0179158978707686,8.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.7857617783352532,0.9539225078253246,0.5579,0.9438,0.0179158978707686,0.0179158978707686,0.0179158978707686,8,,,,,,10
774,ecfp4_bit_774,0.0153024891903804,4.0,True,0.0153024891903804,9.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.7857617783352532,0.9539225078253246,0.5579,0.9438,0.0153024891903804,0.0153024891903804,0.0153024891903804,9,,,,,,10
191,ecfp4_bit_191,0.0141360640031886,6.0,True,0.0141360640031886,10.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.7857617783352532,0.9539225078253246,0.5579,0.9438,0.0141360640031886,0.0141360640031886,0.0141360640031886,10,,,,,,10
168,ecfp4_bit_168,0.1131883771522032,0.0,True,0.1131883771522032,1.0,Decision Tree,dt,ecfp4,OOD holdout,3,0.9022558914203413,0.9823009503924446,0.987,0.9726,0.1131883771522032,0.1131883771522032,0.1131883771522032,1,,,,,,10
875,ecfp4_bit_875,0.0340734496028418,1.0,True,0.0340734496028418,2.0,Decision Tree,dt,ecfp4,OOD holdout,3,0.9022558914203413,0.9823009503924446,0.987,0.9726,0.0340734496028418,0.0340734496028418,0.0340734496028418,2,,,,,,10
80,ecfp4_bit_80,0.034062842010367,5.0,True,0.034062842010367,3.0,Decision Tree,dt,ecfp4,OOD holdout,3,0.9022558914203413,0.9823009503924446,0.987,0.9726,0.034062842010367,0.034062842010367,0.034062842010367,3,,,,,,10
792,ecfp4_bit_792,0.033538880172002,2.0,True,0.033538880172002,4.0,Decision Tree,dt,ecfp4,OOD holdout,3,0.9022558914203413,0.9823009503924446,0.987,0.9726,0.033538880172002,0.033538880172002,0.033538880172002,4,,,,,,10
499,ecfp4_bit_499,0.0275400472515677,3.0,True,0.0275400472515677,5.0,Decision Tree,dt,ecfp4,OOD holdout,3,0.9022558914203413,0.9823009503924446,0.987,0.9726,0.0275400472515677,0.0275400472515677,0.0275400472515677,5,,,,,,10
72,ecfp4_bit_72,0.0183162023235386,5.0,True,0.0183162023235386,6.0,Decision Tree,dt,ecfp4,OOD holdout,3,0.9022558914203413,0.9823009503924446,0.987,0.9726,0.0183162023235386,0.0183162023235386,0.0183162023235386,6,,,,,,10
161,ecfp4_bit_161,0.0168188826947994,1.0,True,0.0168188826947994,7.0,Decision Tree,dt,ecfp4,OOD holdout,3,0.9022558914203413,0.9823009503924446,0.987,0.9726,0.0168188826947994,0.0168188826947994,0.0168188826947994,7,,,,,,10
325,ecfp4_bit_325,0.0167613764609379,3.0,True,0.0167613764609379,8.0,Decision Tree,dt,ecfp4,OOD holdout,3,0.9022558914203413,0.9823009503924446,0.987,0.9726,0.0167613764609379,0.0167613764609379,0.0167613764609379,8,,,,,,10
346,ecfp4_bit_346,0.0162596143177364,4.0,True,0.0162596143177364,9.0,Decision Tree,dt,ecfp4,OOD holdout,3,0.9022558914203413,0.9823009503924446,0.987,0.9726,0.0162596143177364,0.0162596143177364,0.0162596143177364,9,,,,,,10
511,ecfp4_bit_511,0.0141464141046169,2.0,True,0.0141464141046169,10.0,Decision Tree,dt,ecfp4,OOD holdout,3,0.9022558914203413,0.9823009503924446,0.987,0.9726,0.0141464141046169,0.0141464141046169,0.0141464141046169,10,,,,,,10
80,ecfp4_bit_80,0.1430210251695838,0.0,True,0.1430210251695838,1.0,Decision Tree,dt,ecfp4,Random shuffle,1,0.9932231601509093,0.9931973242321421,0.9925,0.5623,0.1430210251695838,0.1430210251695838,0.1430210251695838,1,,,,,,10
64,ecfp4_bit_64,0.1121688350943316,1.0,True,0.1121688350943316,2.0,Decision Tree,dt,ecfp4,Random shuffle,1,0.9932231601509093,0.9931973242321421,0.9925,0.5623,0.1121688350943316,0.1121688350943316,0.1121688350943316,2,,,,,,10
956,ecfp4_bit_956,0.062060698631624,2.0,True,0.062060698631624,3.0,Decision Tree,dt,ecfp4,Random shuffle,1,0.9932231601509093,0.9931973242321421,0.9925,0.5623,0.062060698631624,0.062060698631624,0.062060698631624,3,,,,,,10
128,ecfp4_bit_128,0.0556939990535526,1.0,True,0.0556939990535526,4.0,Decision Tree,dt,ecfp4,Random shuffle,1,0.9932231601509093,0.9931973242321421,0.9925,0.5623,0.0556939990535526,0.0556939990535526,0.0556939990535526,4,,,,,,10
577,ecfp4_bit_577,0.0437102130218674,6.0,True,0.0437102130218674,5.0,Decision Tree,dt,ecfp4,Random shuffle,1,0.9932231601509093,0.9931973242321421,0.9925,0.5623,0.0437102130218674,0.0437102130218674,0.0437102130218674,5,,,,,,10
535,ecfp4_bit_535,0.0427058760509404,9.0,True,0.0427058760509404,6.0,Decision Tree,dt,ecfp4,Random shuffle,1,0.9932231601509093,0.9931973242321421,0.9925,0.5623,0.0427058760509404,0.0427058760509404,0.0427058760509404,6,,,,,,10
904,ecfp4_bit_904,0.0422122985476544,4.0,True,0.0422122985476544,7.0,Decision Tree,dt,ecfp4,Random shuffle,1,0.9932231601509093,0.9931973242321421,0.9925,0.5623,0.0422122985476544,0.0422122985476544,0.0422122985476544,7,,,,,,10
341,ecfp4_bit_341,0.0284035204069141,18.0,True,0.0284035204069141,8.0,Decision Tree,dt,ecfp4,Random shuffle,1,0.9932231601509093,0.9931973242321421,0.9925,0.5623,0.0284035204069141,0.0284035204069141,0.0284035204069141,8,,,,,,10
721,ecfp4_bit_721,0.0250260464359103,7.0,True,0.0250260464359103,9.0,Decision Tree,dt,ecfp4,Random shuffle,1,0.9932231601509093,0.9931973242321421,0.9925,0.5623,0.0250260464359103,0.0250260464359103,0.0250260464359103,9,,,,,,10
