model,model_short,fingerprint,protocol,fold,train_pr_auc,inner_pr_auc,inner_train_pr_auc,test_pr_auc,train_inner_gap,inner_test_gap,train_test_gap
Decision Tree,DT,ECFP4,OOD holdout,1,0.9783,0.8628534344864465,0.9511324673653343,0.9105,0.11544656551355348,-0.04764656551355351,0.06779999999999997
Decision Tree,DT,ECFP4,OOD holdout,2,0.5579,0.7857617783352532,0.9539225078253246,0.9438,-0.22786177833525323,-0.1580382216647468,-0.3859
Decision Tree,DT,ECFP4,OOD holdout,3,0.987,0.9022558914203413,0.9823009503924446,0.9726,0.08474410857965864,-0.07034410857965867,0.014399999999999968
Decision Tree,DT,ECFP4,Random shuffle,1,0.9925,0.9932231601509093,0.9931973242321421,0.5623,-0.00072316015090923,0.43092316015090926,0.4302
Decision Tree,DT,ECFP4,Random shuffle,2,0.5802,0.4045278875713658,0.6710429900349548,0.7389,0.17567211242863423,-0.3343721124286342,-0.15869999999999995
Decision Tree,DT,ECFP4,Random shuffle,3,0.9797,0.9707582912011613,0.9833750724903667,0.6454,0.00894170879883871,0.32535829120116133,0.33430000000000004
Decision Tree,DT,MACCS,OOD holdout,1,0.9918,0.8808368367030034,0.9493710003525566,0.949,0.11096316329699663,-0.06816316329699657,0.04280000000000006
Decision Tree,DT,MACCS,OOD holdout,2,0.5716,0.8151394267759757,0.9453277862825935,0.9524,-0.24353942677597573,-0.1372605732240243,-0.3808
Decision Tree,DT,MACCS,OOD holdout,3,0.9902,0.8549988286117637,0.9657322881662106,0.9355,0.13520117138823629,-0.08050117138823631,0.05469999999999997
Decision Tree,DT,MACCS,Random shuffle,1,0.9769,0.9692461222145623,0.9828484326144629,0.5277,0.0076538777854376905,0.44154612221456235,0.44920000000000004
Decision Tree,DT,MACCS,Random shuffle,2,0.4747,0.4104915776364947,0.5405445264268808,0.7257,0.06420842236350532,-0.3152084223635053,-0.251
Decision Tree,DT,MACCS,Random shuffle,3,0.9954,0.9713335238305644,0.9947675019132305,0.5652,0.02406647616943558,0.40613352383056434,0.4301999999999999
Logistic Regression,LR,ECFP4,OOD holdout,1,0.9938,0.8840998974588312,0.9702193855047255,0.9544,0.1097001025411688,-0.07030010254116881,0.03939999999999999
Logistic Regression,LR,ECFP4,OOD holdout,2,0.6288,0.8092863551502746,0.9702193855047255,0.968,-0.18048635515027456,-0.1587136448497254,-0.33919999999999995
Logistic Regression,LR,ECFP4,OOD holdout,3,0.9868,0.9095420179752793,0.9774247465048307,0.9465,0.07725798202472067,-0.03695798202472067,0.0403
Logistic Regression,LR,ECFP4,Random shuffle,1,0.9959,0.9898595909441292,0.995314312568416,0.5947,0.006040409055870777,0.3951595909441292,0.4012
Logistic Regression,LR,ECFP4,Random shuffle,2,0.9234,0.38032021498215907,0.9214007197532945,0.7144,0.5430797850178409,-0.33407978501784097,0.20899999999999996
Logistic Regression,LR,ECFP4,Random shuffle,3,0.9838,0.9677608298706635,0.9862943513370974,0.6901,0.016039170129336533,0.27766082987066343,0.29369999999999996
Logistic Regression,LR,MACCS,OOD holdout,1,0.9442,0.8408045115323325,0.880000575883781,0.8307,0.10339548846766755,0.010104511532332494,0.11350000000000005
Logistic Regression,LR,MACCS,OOD holdout,2,0.2116,0.7330261714277776,0.892155361188239,0.8851,-0.5214261714277776,-0.1520738285722224,-0.6735
Logistic Regression,LR,MACCS,OOD holdout,3,0.9328,0.7880450084658097,0.8917867427047932,0.8135,0.14475499153419025,-0.025454991534190285,0.11929999999999996
Logistic Regression,LR,MACCS,Random shuffle,1,0.9847,0.9701159009564164,0.9848427570247835,0.5441,0.014584099043583598,0.4260159009564164,0.4406
Logistic Regression,LR,MACCS,Random shuffle,2,0.4869,0.35781287063754597,0.4782971182053545,0.7416,0.12908712936245403,-0.38378712936245407,-0.25470000000000004
Logistic Regression,LR,MACCS,Random shuffle,3,0.9741,0.9764966125760112,0.9744129212256665,0.5457,-0.0023966125760112034,0.4307966125760112,0.4284
Logistic Regression,LR,RDKit desc,OOD holdout,1,0.9671,0.8535561471870436,0.9132568747658036,0.8776,0.11354385281295631,-0.0240438528129564,0.08949999999999991
Logistic Regression,LR,RDKit desc,OOD holdout,2,0.2898,0.7658984245951737,0.9159083381330989,0.907,-0.47609842459517365,-0.14110157540482637,-0.6172
Logistic Regression,LR,RDKit desc,OOD holdout,3,0.9439,0.8025038279291461,0.926403730417863,0.8481,0.14139617207085386,-0.04559617207085387,0.0958
Logistic Regression,LR,RDKit desc,Random shuffle,1,0.9963,0.9916841602291873,0.9960103153895361,0.6294,0.004615839770812702,0.3622841602291873,0.3669
Logistic Regression,LR,RDKit desc,Random shuffle,2,0.8744,0.45163145387511816,0.8905505579164049,0.7469,0.4227685461248818,-0.29526854612488185,0.12749999999999995
Logistic Regression,LR,RDKit desc,Random shuffle,3,0.9701,0.956535428376396,0.9739441614275195,0.5972,0.013564571623603916,0.3593354283763961,0.3729
SVM linear,SVM,ECFP4,OOD holdout,1,0.9916,0.8853267302021868,0.9682157584550661,0.9393,0.10627326979781326,-0.05397326979781325,0.05230000000000001
SVM linear,SVM,ECFP4,OOD holdout,2,0.5914,0.816600601380899,0.9682157584550661,0.9548,-0.22520060138089892,-0.13819939861910102,-0.36339999999999995
SVM linear,SVM,ECFP4,OOD holdout,3,0.9709,0.9025698804843686,0.975097649672557,0.938,0.0683301195156314,-0.03543011951563135,0.03290000000000004
SVM linear,SVM,ECFP4,Random shuffle,1,0.9942,0.9935644418254153,0.9928496691608353,0.6479,0.0006355581745847161,0.3456644418254152,0.34629999999999994
SVM linear,SVM,ECFP4,Random shuffle,2,0.8252,0.39735428955582996,0.8565070690368202,0.7522,0.4278457104441701,-0.35484571044417,0.07300000000000006
SVM linear,SVM,ECFP4,Random shuffle,3,0.9822,0.9681770078325985,0.984762728938652,0.6829,0.014022992167401438,0.2852770078325986,0.2993
SVM linear,SVM,MACCS,OOD holdout,1,0.9394,0.8364241686558698,0.8740843193481004,0.8285,0.10297583134413024,0.007924168655869757,0.1109
SVM linear,SVM,MACCS,OOD holdout,2,0.291,0.7330041733938625,0.8876426659910767,0.8734,-0.4420041733938625,-0.14039582660613747,-0.5824
SVM linear,SVM,MACCS,OOD holdout,3,0.9144,0.7852551748214677,0.8979683927412545,0.7998,0.12914482517853232,-0.014544825178532284,0.11460000000000004
SVM linear,SVM,MACCS,Random shuffle,1,0.992,0.9721792352898421,0.9957052876697516,0.5052,0.019820764710157923,0.4669792352898421,0.4868
SVM linear,SVM,MACCS,Random shuffle,2,0.4815,0.34789895933783876,0.4749263663256489,0.7503,0.13360104066216122,-0.4024010406621612,-0.2688
SVM linear,SVM,MACCS,Random shuffle,3,0.9715,0.9776299878775764,0.9726076754893727,0.4966,-0.006129987877576348,0.4810299878775764,0.47490000000000004
