dataset,dataset_label,model,model_short,fingerprint,protocol,inner_mean,inner_std,train_mean,train_std,test_mean,test_std,inner_test_gap_mean,inner_test_gap_std,train_test_gap_mean,train_test_gap_std,model_order,fingerprint_order,protocol_order,dataset_order
drd2,DRD2,Decision Tree,DT,ECFP4,OOD holdout,0.7641779627552131,0.08102765817055756,0.8500333333333333,0.05024662509396367,0.7164,0.04696711615588085,0.04777796275521314,0.11384173628272536,0.13363333333333335,0.08080255771529354,0,0,0,0
drd2,DRD2,Decision Tree,DT,ECFP4,Random shuffle,0.8702988523271596,0.036117229200432,0.8977,0.006750555532695075,0.7115,0.07677232574306968,0.15879885232715976,0.1124225816967335,0.18620000000000003,0.08336929890553235,0,0,1,0
drd2,DRD2,Decision Tree,DT,MACCS,OOD holdout,0.7683902232492948,0.06509501458512489,0.8665333333333334,0.09240521269567714,0.6802,0.06824287508597512,0.08819022324929493,0.11806032755118927,0.18633333333333335,0.13615734770233054,0,1,0,0
drd2,DRD2,Decision Tree,DT,MACCS,Random shuffle,0.864691589489632,0.02825792696202403,0.9406,0.03552703196159229,0.7047333333333334,0.10195559490941794,0.15995825615629866,0.13013543234807048,0.23586666666666667,0.13660473393456513,0,1,1,0
drd2,DRD2,Logistic Regression,LR,ECFP4,OOD holdout,0.7514395197359262,0.09906257321253631,0.9440666666666667,0.03469255443655498,0.7572000000000001,0.09961360348868024,-0.005760480264073831,0.1917656100362527,0.18686666666666665,0.09850565127612396,1,0,0,0
drd2,DRD2,Logistic Regression,LR,ECFP4,Random shuffle,0.9104849643789777,0.026551761405088505,0.9799000000000001,0.009314504817755975,0.7676666666666666,0.11007435365848542,0.14281829771231103,0.13655490791618377,0.21223333333333336,0.11581849305414624,1,0,1,0
drd2,DRD2,Logistic Regression,LR,MACCS,OOD holdout,0.7377439124235269,0.05916146656975246,0.9079666666666667,0.014323523775011972,0.7460666666666667,0.09199480057771382,-0.00832275424313981,0.1508180591314158,0.16190000000000002,0.10324286900314229,1,1,0,0
drd2,DRD2,Logistic Regression,LR,MACCS,Random shuffle,0.8572325100570183,0.020003228530755323,0.9088666666666666,0.013671990832842675,0.7414333333333333,0.09344438631257275,0.11579917672368496,0.11230379307169565,0.16743333333333335,0.10486202045227495,1,1,1,0
drd2,DRD2,Logistic Regression,LR,RDKit desc,OOD holdout,0.7642563961178249,0.07648693716970095,0.9053333333333334,0.018113070786957546,0.7882666666666666,0.08087708781437006,-0.02401027054884175,0.1453011704943322,0.11706666666666665,0.08853023965478309,1,2,0,0
drd2,DRD2,Logistic Regression,LR,RDKit desc,Random shuffle,0.8708588837506156,0.035899824665205735,0.9279999999999999,0.0174639628950591,0.7874333333333333,0.07504514197023908,0.08342555041728228,0.10759025678152907,0.1405666666666667,0.0924288014275493,1,2,1,0
drd2,DRD2,Linear SVM,SVM,ECFP4,OOD holdout,0.7376815508338447,0.10016691804504457,0.9431333333333334,0.046977264004338694,0.7532333333333333,0.10896074216585225,-0.015551782499488557,0.2039215921223212,0.18990000000000004,0.14988458893428633,2,0,0,0
drd2,DRD2,Linear SVM,SVM,ECFP4,Random shuffle,0.9056105983946751,0.025473673778149578,0.9775999999999999,0.00538423625038869,0.7677999999999999,0.10472062834036096,0.1378105983946751,0.13019165390062143,0.2098,0.10962476909895873,2,0,1,0
drd2,DRD2,Linear SVM,SVM,MACCS,OOD holdout,0.7458904485088079,0.05542587052947665,0.8986000000000001,0.012480785231707175,0.7393666666666667,0.07835893907738495,0.006523781842141234,0.13376863097501968,0.1592333333333333,0.08470031483609333,2,1,0,0
drd2,DRD2,Linear SVM,SVM,MACCS,Random shuffle,0.8531144542868212,0.0197885970438942,0.9045666666666667,0.020698389631402112,0.7417666666666666,0.07454262762563003,0.11134778762015447,0.09212794159578523,0.16279999999999997,0.09231689986129306,2,1,1,0
hiv,HIV,Decision Tree,DT,ECFP4,OOD holdout,0.09432122894367416,0.015922414996143983,0.29896666666666666,0.19594469457817262,0.04666666666666667,0.02532238798639128,0.04765456227700748,0.0313708901967198,0.2523,0.20692392321817216,0,0,0,1
