dataset,dataset_label,model,model_short,fingerprint,protocol,inner_pr_auc_mean,inner_pr_auc_std,test_pr_auc_mean,test_pr_auc_std,inner_test_gap_mean,inner_test_gap_std,train_test_gap_mean,train_test_gap_std,l2_norm_mean,l2_norm_std,l1_norm_mean,l1_norm_std,n_nonzero_coefficients_mean,n_nonzero_coefficients_std,sparsity_mean,sparsity_std,approx_margin_mean,approx_margin_std,effective_depth_mean,effective_depth_std,n_nodes_mean,n_nodes_std,n_leaves_mean,n_leaves_std,n_features_used_mean,n_features_used_std,feature_min_depth_mean_mean,feature_min_depth_mean_std,model_order,fingerprint_order,protocol_order,dataset_order
drd2,DRD2,Decision Tree,DT,ECFP4,OOD holdout,0.7641779627552131,0.08102765817055756,0.7164,0.04696711615588085,0.04777796275521314,0.11384173628272536,0.13363333333333335,0.08080255771529354,,,,,,,,,,,14.0,6.557438524302,83.66666666666667,15.011106998930272,42.333333333333336,7.505553499465136,40.0,7.0,6.3682378807378806,2.149730337734036,0,0,0,0
drd2,DRD2,Decision Tree,DT,ECFP4,Random shuffle,0.8702988523271596,0.036117229200432,0.7115,0.07677232574306968,0.15879885232715976,0.1124225816967335,0.18620000000000003,0.08336929890553235,,,,,,,,,,,16.666666666666668,5.773502691896257,123.66666666666667,24.027761721253466,62.333333333333336,12.013880860626733,58.666666666666664,11.015141094572204,7.4584496442255075,1.8329050588209552,0,0,1,0
drd2,DRD2,Decision Tree,DT,MACCS,OOD holdout,0.7683902232492948,0.06509501458512489,0.6802,0.06824287508597512,0.08819022324929493,0.11806032755118927,0.18633333333333335,0.13615734770233054,,,,,,,,,,,8.333333333333334,6.110100926607787,236.33333333333334,315.57143934984566,118.66666666666667,157.78571967492283,47.333333333333336,48.33563212924119,4.0170270270270265,2.7855524032731043,0,1,0,0
drd2,DRD2,Decision Tree,DT,MACCS,Random shuffle,0.864691589489632,0.02825792696202403,0.7047333333333334,0.10195559490941794,0.15995825615629866,0.13013543234807048,0.23586666666666667,0.13660473393456513,,,,,,,,,,,15.0,0.0,282.3333333333333,100.66445913694334,141.66666666666666,50.33222956847167,79.0,17.349351572897472,7.065599977364683,0.5132232897172797,0,1,1,0
drd2,DRD2,Logistic Regression,LR,ECFP4,OOD holdout,0.7514395197359262,0.09906257321253631,0.7572000000000001,0.09961360348868024,-0.005760480264073831,0.1917656100362527,0.18686666666666665,0.09850565127612396,3.7397759587734747,1.850762426578822,67.77395727921125,63.9465191247671,477.3333333333333,501.7343254485718,0.5338541666666666,0.4899749271958709,0.33351046380931576,0.2058331150092952,,,,,,,,,,,1,0,0,0
drd2,DRD2,Logistic Regression,LR,ECFP4,Random shuffle,0.9104849643789777,0.026551761405088505,0.7676666666666666,0.11007435365848542,0.14281829771231103,0.13655490791618377,0.21223333333333336,0.11581849305414624,9.407383524913207,3.5971608845610024,234.86214704708664,93.70480538064844,1020.0,2.0,0.00390625,0.001953125,0.12131661873097084,0.05901991850808773,,,,,,,,,,,1,0,1,0
drd2,DRD2,Logistic Regression,LR,MACCS,OOD holdout,0.7377439124235269,0.05916146656975246,0.7460666666666667,0.09199480057771382,-0.00832275424313981,0.1508180591314158,0.16190000000000002,0.10324286900314229,16.47105084721719,7.86936701688051,117.99799809848075,53.385401650202965,126.33333333333333,21.1266025033211,0.2435129740518962,0.12650660181629397,0.07676995977219861,0.050464246737789514,,,,,,,,,,,1,1,0,0
drd2,DRD2,Logistic Regression,LR,MACCS,Random shuffle,0.8572325100570183,0.020003228530755323,0.7414333333333333,0.09344438631257275,0.11579917672368496,0.11230379307169565,0.16743333333333335,0.10486202045227495,13.366347427670194,6.547389276521874,95.98163730337531,45.275946993979524,121.0,18.33030277982336,0.2754491017964072,0.10976229209475068,0.09613564625362507,0.06537044840690091,,,,,,,,,,,1,1,1,0
drd2,DRD2,Logistic Regression,LR,RDKit desc,OOD holdout,0.7642563961178249,0.07648693716970095,0.7882666666666666,0.08087708781437006,-0.02401027054884175,0.1453011704943322,0.11706666666666665,0.08853023965478309,3.7450948576543106,4.334217714141644,34.76337311611233,40.44593734851608,149.66666666666666,77.78388864882838,0.3102918586789554,0.3584510997641861,0.7300884470212576,0.7365905756323315,,,,,,,,,,,1,2,0,0
drd2,DRD2,Logistic Regression,LR,RDKit desc,Random shuffle,0.8708588837506156,0.035899824665205735,0.7874333333333333,0.07504514197023908,0.08342555041728228,0.10759025678152907,0.1405666666666667,0.0924288014275493,6.72408334362335,2.7780159196242584,65.02933180201167,27.260493165805947,182.66666666666666,27.428695436227606,0.15821812596006143,0.12639951813929778,0.16405547430169587,0.05596697823263727,,,,,,,,,,,1,2,1,0
