dataset,dataset_label,model,model_short,fingerprint,protocol,fold,inner_pr_auc,inner_train_pr_auc,train_pr_auc,test_pr_auc,inner_test_gap,train_test_gap,model_order,fingerprint_order,protocol_order,dataset_order
drd2,DRD2,Decision Tree,DT,ECFP4,OOD holdout,1,0.8551771770063913,0.9171713467005226,0.908,0.6979,0.15727717700639132,0.21010000000000006,0,0,0,0
drd2,DRD2,Decision Tree,DT,ECFP4,OOD holdout,2,0.6998411944088918,0.8731814260225893,0.8189,0.7698,-0.06995880559110823,0.04909999999999992,0,0,0,0
drd2,DRD2,Decision Tree,DT,ECFP4,OOD holdout,3,0.7375155168503563,0.9056407452056573,0.8232,0.6815,0.05601551685035633,0.14170000000000005,0,0,0,0
drd2,DRD2,Decision Tree,DT,ECFP4,Random shuffle,1,0.9055404807158822,0.9253397231677174,0.9044,0.6472,0.2583404807158822,0.2572,0,0,1,0
drd2,DRD2,Decision Tree,DT,ECFP4,Random shuffle,2,0.8333654783205952,0.8848706712840391,0.8909,0.7965,0.03686547832059517,0.09440000000000004,0,0,1,0
drd2,DRD2,Decision Tree,DT,ECFP4,Random shuffle,3,0.8719905979450019,0.9246596388707938,0.8978,0.6908,0.18119059794500192,0.20700000000000007,0,0,1,0
drd2,DRD2,Decision Tree,DT,MACCS,OOD holdout,1,0.8426971011888071,0.9366169350222263,0.9679,0.6262,0.21649710118880716,0.3417,0,1,0,0
drd2,DRD2,Decision Tree,DT,MACCS,OOD holdout,2,0.741046312402718,0.8618518741860058,0.8447,0.7569,-0.015853687597282007,0.08779999999999999,0,1,0,0
drd2,DRD2,Decision Tree,DT,MACCS,OOD holdout,3,0.7214272561563596,0.8456242670946886,0.787,0.6575,0.06392725615635964,0.12950000000000006,0,1,0,0
drd2,DRD2,Decision Tree,DT,MACCS,Random shuffle,1,0.8912838975894211,0.9631567540254611,0.9694,0.6034,0.287883897589421,0.366,0,1,1,0
drd2,DRD2,Decision Tree,DT,MACCS,Random shuffle,2,0.8350202316658755,0.9168606597753752,0.9009,0.8073,0.02772023166587545,0.09360000000000002,0,1,1,0
drd2,DRD2,Decision Tree,DT,MACCS,Random shuffle,3,0.8677706392135995,0.944795418777714,0.9515,0.7035,0.16427063921359952,0.248,0,1,1,0
drd2,DRD2,Logistic Regression,LR,ECFP4,OOD holdout,1,0.8607152478855009,0.9543348474839631,0.9674,0.6795,0.18121524788550092,0.28790000000000004,1,0,0,0
drd2,DRD2,Logistic Regression,LR,ECFP4,OOD holdout,2,0.6675184720991642,0.9776780858482685,0.9606,0.8695,-0.2019815279008359,0.09109999999999996,1,0,0,0
drd2,DRD2,Logistic Regression,LR,ECFP4,OOD holdout,3,0.7260848392231135,0.938435778376931,0.9042,0.7226,0.0034848392231134895,0.18159999999999998,1,0,0,0
drd2,DRD2,Logistic Regression,LR,ECFP4,Random shuffle,1,0.9382064006551007,0.9935870021809627,0.9889,0.6487,0.2895064006551007,0.34019999999999995,1,0,1,0
drd2,DRD2,Logistic Regression,LR,ECFP4,Random shuffle,2,0.8852823984283071,0.9905384708441823,0.9805,0.8659,0.019382398428307135,0.11460000000000004,1,0,1,0
drd2,DRD2,Logistic Regression,LR,ECFP4,Random shuffle,3,0.9079660940535252,0.977211990356401,0.9703,0.7884,0.11956609405352525,0.18190000000000006,1,0,1,0
drd2,DRD2,Logistic Regression,LR,MACCS,OOD holdout,1,0.8042561307635743,0.9271463850955747,0.9194,0.6403,0.1639561307635743,0.2791,1,1,0,0
drd2,DRD2,Logistic Regression,LR,MACCS,OOD holdout,2,0.6909906652124838,0.9394952875887119,0.8919,0.8075,-0.11650933478751624,0.08440000000000003,1,1,0,0
drd2,DRD2,Logistic Regression,LR,MACCS,OOD holdout,3,0.7179849412945225,0.9686056366849835,0.9126,0.7904,-0.07241505870547749,0.12219999999999998,1,1,0,0
drd2,DRD2,Logistic Regression,LR,MACCS,Random shuffle,1,0.8779666107213907,0.9273460187223894,0.9209,0.6339,0.2440666107213907,0.28700000000000003,1,1,1,0
drd2,DRD2,Logistic Regression,LR,MACCS,Random shuffle,2,0.8380505885469092,0.9111320240451463,0.894,0.8029,0.03515058854690922,0.09110000000000007,1,1,1,0
drd2,DRD2,Logistic Regression,LR,MACCS,Random shuffle,3,0.855680330902755,0.9256849402230722,0.9117,0.7875,0.068180330902755,0.12419999999999998,1,1,1,0
drd2,DRD2,Logistic Regression,LR,RDKit desc,OOD holdout,1,0.8525260265847203,0.9159616592009351,0.9245,0.7247,0.1278260265847203,0.19979999999999998,1,2,0,0
drd2,DRD2,Logistic Regression,LR,RDKit desc,OOD holdout,2,0.7175514037445511,0.9450966673574455,0.903,0.8793,-0.1617485962554489,0.023700000000000054,1,2,0,0
drd2,DRD2,Logistic Regression,LR,RDKit desc,OOD holdout,3,0.7226917580242034,0.9289764020483031,0.8885,0.7608,-0.03810824197579665,0.12769999999999992,1,2,0,0
drd2,DRD2,Logistic Regression,LR,RDKit desc,Random shuffle,1,0.9095327158434262,0.9479160096673103,0.9422,0.7333,0.17623271584342626,0.20890000000000009,1,2,1,0
drd2,DRD2,Logistic Regression,LR,RDKit desc,Random shuffle,2,0.8385972454853255,0.9306553590638302,0.9085,0.8731,-0.03450275451467444,0.03539999999999999,1,2,1,0
drd2,DRD2,Logistic Regression,LR,RDKit desc,Random shuffle,3,0.864446689923095,0.9377564856112193,0.9333,0.7559,0.10854668992309502,0.1774,1,2,1,0
drd2,DRD2,Linear SVM,SVM,ECFP4,OOD holdout,1,0.8531224223523477,0.9975824503503612,0.9971,0.6434,0.20972242235234773,0.3537,2,0,0,0
drd2,DRD2,Linear SVM,SVM,ECFP4,OOD holdout,2,0.6737590704174629,0.9416323328616137,0.9209,0.8613,-0.1875409295825371,0.0596000000000001,2,0,0,0
drd2,DRD2,Linear SVM,SVM,ECFP4,OOD holdout,3,0.6861631597317237,0.9535357890843918,0.9114,0.755,-0.0688368402682763,0.15639999999999998,2,0,0,0
drd2,DRD2,Linear SVM,SVM,ECFP4,Random shuffle,1,0.9329517171760465,0.9861129684984044,0.9838,0.6547,0.2782517171760466,0.32910000000000006,2,0,1,0
drd2,DRD2,Linear SVM,SVM,ECFP4,Random shuffle,2,0.8825456005645301,0.9880368029408645,0.9749,0.8614,0.021145600564530076,0.11349999999999993,2,0,1,0
drd2,DRD2,Linear SVM,SVM,ECFP4,Random shuffle,3,0.9013344774434486,0.9839539766876428,0.9741,0.7873,0.11403447744344863,0.18679999999999997,2,0,1,0
drd2,DRD2,Linear SVM,SVM,MACCS,OOD holdout,1,0.8098847215847476,0.9130165696737562,0.9053,0.6489,0.16098472158474753,0.25639999999999996,2,1,0,0
drd2,DRD2,Linear SVM,SVM,MACCS,OOD holdout,2,0.7131337831288191,0.9353852066463435,0.8842,0.7832,-0.07006621687118086,0.10099999999999998,2,1,0,0
drd2,DRD2,Linear SVM,SVM,MACCS,OOD holdout,3,0.7146528408128571,0.963288058621316,0.9063,0.786,-0.07134715918714296,0.12029999999999996,2,1,0,0
drd2,DRD2,Linear SVM,SVM,MACCS,Random shuffle,1,0.8729367083316345,0.9443852575060054,0.9244,0.6557,0.21723670833163455,0.26870000000000005,2,1,1,0
drd2,DRD2,Linear SVM,SVM,MACCS,Random shuffle,2,0.8333596868604389,0.8949816181031728,0.8831,0.7838,0.04955968686043888,0.09929999999999994,2,1,1,0
drd2,DRD2,Linear SVM,SVM,MACCS,Random shuffle,3,0.85304696766839,0.9226736459666994,0.9062,0.7858,0.06724696766839,0.12039999999999995,2,1,1,0
hiv,HIV,Decision Tree,DT,ECFP4,OOD holdout,1,0.11253571593178438,0.03236650246047632,0.1173,0.0395,0.07303571593178437,0.07780000000000001,0,0,0,1
hiv,HIV,Decision Tree,DT,ECFP4,OOD holdout,2,0.08738139107141737,0.09774640599544701,0.273,0.0748,0.01258139107141737,0.19820000000000002,0,0,0,1
hiv,HIV,Decision Tree,DT,ECFP4,OOD holdout,3,0.08304657982782068,0.5457210896342941,0.5066,0.0257,0.05734657982782068,0.48090000000000005,0,0,0,1
hiv,HIV,Decision Tree,DT,ECFP4,Random shuffle,1,0.2967800990973551,0.33204155270498764,0.3599,0.0447,0.25208009909735507,0.3152,0,0,1,1
hiv,HIV,Decision Tree,DT,ECFP4,Random shuffle,2,0.2652444328169946,0.38361487932445004,0.3601,0.0934,0.17184443281699463,0.2667,0,0,1,1
hiv,HIV,Decision Tree,DT,ECFP4,Random shuffle,3,0.3596805739736587,0.5302727422929231,0.5079,0.0297,0.3299805739736587,0.4782,0,0,1,1
hiv,HIV,Decision Tree,DT,MACCS,OOD holdout,1,0.1218357216539894,0.09329002499345442,0.2458,0.147,-0.025164278346010593,0.0988,0,1,0,1
hiv,HIV,Decision Tree,DT,MACCS,OOD holdout,2,0.20830243617657085,0.1630012255340779,0.3699,0.0613,0.14700243617657086,0.3086,0,1,0,1
