,smiles,value,preds
0,CC(C)Oc1ccccc1N1CCN(Cc2cccc(C(=O)N3CCCCC3)c2)CC1,True,0.7236354058804261
1,CC(C)Oc1ccccc1N1CCN(Cc2cccc(CN3CCCCC3=O)c2)CC1,True,0.8423460665835146
2,CC(C)Oc1ccccc1N1CCN(Cc2ccccc2CN2CCCCC2=O)CC1,True,0.818704609630124
3,COc1ccccc1N1CCN(CC2COCC(c3ccccc3)(c3ccccc3)O2)CC1,True,0.6059709089060307
4,COc1ccccc1N1CCN(C[C@H]2OCCOC2(c2ccccc2)c2ccccc2)CC1,False,0.27061225502451974
5,N#C/N=C(\NCCCN1CCN(c2cccc(Cl)c2)CC1)c1ccncc1,False,0.1711874097642885
6,CCOc1ccccc1N1CCN(CCCN/C(=N\C#N)c2ccccn2)CC1,False,0.07286219854263541
7,C#Cc1cccn1C1CCN(Cc2ccccc2)CC1,False,0.058050410414357156
8,C(#Cc1cccn1C1CCN(Cc2ccccc2)CC1)c1ccccc1,False,0.0891421769107005
9,C[Si](C)(C)C#Cc1cccn1C1CCN(Cc2ccccc2)CC1,False,0.11959770102276027
10,Ic1cccn1C1CCN(Cc2ccccc2)CC1,False,0.07905291797822499
11,N#CC(C#N)=Cc1cccn1C1CCN(Cc2ccccc2)CC1,False,0.0392009510472518
12,N#CC(C#N)=Cc1ccn(C2CCN(Cc3ccccc3)CC2)c1,False,0.06528908810553005
13,O=Cc1cccn1C1CCN(Cc2ccccc2)CC1,False,0.055762437981589814
14,O=Cc1ccn(C2CCN(Cc3ccccc3)CC2)c1,False,0.08047324160831282
15,c1ccc(CN2CCC(n3ccc(-c4cnco4)c3)CC2)cc1,False,0.20130256928485285
16,c1ccc(CN2CCC(n3cccc3-c3cnco3)CC2)cc1,True,0.49912468161905493
17,C(#Cc1ccc2[nH]ccc2c1)CCN1CC=C(c2ccccc2)CC1,True,0.9707636506602718
18,C(#Cc1ccc2c(c1)OCCO2)CCN1CC=C(c2ccccc2)CC1,True,0.955626246039942
19,C(#Cc1ccc2occc2c1)CCN1CC=C(c2ccccc2)CC1,True,0.9266196062015011
20,C(#Cc1ccccc1)CCN1CC=C(c2ccccc2)CC1,True,0.9871117548859065
21,C(#Cc1ccccn1)CCN1CC=C(c2ccccc2)CC1,True,0.9461843324066931
22,C(#Cc1cccnc1)CCN1CC=C(c2ccccc2)CC1,True,0.9738291849208983
23,C(#Cc1ccncc1)CCN1CC=C(c2ccccc2)CC1,True,0.971055603564539
24,C(#Cc1cnc2ccccc2c1)CCN1CC=C(c2ccccc2)CC1,True,0.9526357254136077
25,C(#Cc1cncc2ccccc12)CCN1CC=C(c2ccccc2)CC1,True,0.9607697966706245
26,COc1ccc(C#CCCN2CC=C(c3ccccc3)CC2)cc1,True,0.9427180023397469
27,Nc1ccc(C#CCCN2CC=C(c3ccccc3)CC2)cc1,True,0.9855391750199952
28,Nc1ccc(C#CCCN2CC=C(c3ccccc3)CC2)cn1,True,0.9765419047919737
29,Nc1ccc(C#CCCN2CC=C(c3ccccc3)CC2)nc1,True,0.9616206179918558
30,Nc1cccc(C#CCCN2CC=C(c3ccccc3)CC2)c1,True,0.9808585740028226
31,Nc1ccccc1C#CCCN1CC=C(c2ccccc2)CC1,True,0.9746427338694938
32,Oc1ccc(C#CCCN2CC=C(c3ccccc3)CC2)cc1,True,0.9735550730479432
