model,model_short,fingerprint,protocol,fold,train_pr_auc,inner_pr_auc,inner_train_pr_auc,test_pr_auc,train_inner_gap,inner_test_gap,train_test_gap
Decision Tree,DT,ECFP4,OOD holdout,1,0.908,0.8551771770063913,0.9171713467005226,0.6979,0.05282282299360874,0.15727717700639132,0.21010000000000006
Decision Tree,DT,ECFP4,OOD holdout,2,0.8189,0.6998411944088918,0.8731814260225893,0.7698,0.11905880559110815,-0.06995880559110823,0.04909999999999992
Decision Tree,DT,ECFP4,OOD holdout,3,0.8232,0.7375155168503563,0.9056407452056573,0.6815,0.08568448314964372,0.05601551685035633,0.14170000000000005
Decision Tree,DT,ECFP4,Random shuffle,1,0.9522,0.9115345078494066,0.9601891359333161,0.6237,0.04066549215059345,0.28783450784940656,0.3285
Decision Tree,DT,ECFP4,Random shuffle,2,0.8757,0.8443975399363534,0.9043290226500871,0.754,0.031302460063646675,0.09039753993635335,0.12170000000000003
Decision Tree,DT,ECFP4,Random shuffle,3,0.9573,0.9096897043203851,0.9595722354542324,0.6544,0.047610295679614945,0.2552897043203851,0.30290000000000006
Decision Tree,DT,MACCS,OOD holdout,1,0.9679,0.8426971011888071,0.9366169350222263,0.6262,0.12520289881119284,0.21649710118880716,0.3417
Decision Tree,DT,MACCS,OOD holdout,2,0.8447,0.741046312402718,0.8618518741860058,0.7569,0.103653687597282,-0.015853687597282007,0.08779999999999999
Decision Tree,DT,MACCS,OOD holdout,3,0.787,0.7214272561563596,0.8456242670946886,0.6575,0.06557274384364042,0.06392725615635964,0.12950000000000006
Decision Tree,DT,MACCS,Random shuffle,1,0.9554,0.915752479745439,0.9562596864843036,0.5913,0.039647520254560975,0.324452479745439,0.3641
Decision Tree,DT,MACCS,Random shuffle,2,0.9495,0.8488402545433467,0.9476726209873242,0.7564,0.10065974545665335,0.0924402545433467,0.19310000000000005
Decision Tree,DT,MACCS,Random shuffle,3,0.9458,0.8996154039110311,0.9525321284057199,0.6741,0.046184596088968854,0.2255154039110311,0.27169999999999994
Logistic Regression,LR,ECFP4,OOD holdout,1,0.9674,0.8607152478855009,0.9543348474839631,0.6795,0.10668475211449913,0.18121524788550092,0.28790000000000004
Logistic Regression,LR,ECFP4,OOD holdout,2,0.9606,0.6675184720991642,0.9776780858482685,0.8695,0.29308152790083586,-0.2019815279008359,0.09109999999999996
Logistic Regression,LR,ECFP4,OOD holdout,3,0.9042,0.7260848392231135,0.938435778376931,0.7226,0.1781151607768865,0.0034848392231134895,0.18159999999999998
Logistic Regression,LR,ECFP4,Random shuffle,1,0.9932,0.9366480140493337,0.9951766631268899,0.6486,0.05655198595066624,0.2880480140493338,0.3446
Logistic Regression,LR,ECFP4,Random shuffle,2,0.9773,0.8804895461471508,0.9833448220337688,0.866,0.09681045385284914,0.014489546147150811,0.11129999999999995
Logistic Regression,LR,ECFP4,Random shuffle,3,0.9703,0.9294501353919097,0.9709272093176404,0.7884,0.04084986460809037,0.1410501353919097,0.18190000000000006
Logistic Regression,LR,MACCS,OOD holdout,1,0.9194,0.8042561307635743,0.9271463850955747,0.6403,0.11514386923642572,0.1639561307635743,0.2791
Logistic Regression,LR,MACCS,OOD holdout,2,0.8919,0.6909906652124838,0.9394952875887119,0.8075,0.20090933478751627,-0.11650933478751624,0.08440000000000003
