model,model_short,fingerprint,protocol,result_dir,fold,inner_pr_auc,inner_train_pr_auc,train_pr_auc,test_pr_auc,train_inner_gap,inner_test_gap,train_test_gap,model_class,model_name,fp_type,n_features,effective_depth,n_nodes,n_leaves,n_features_used,used_feature_fraction,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,ccp_alpha,class_weight,feature_min_depth_mean,feature_min_depth_std,feature_min_depth_min,feature_min_depth_max,coefficient_shape,n_coefficients,n_nonzero_coefficients,sparsity,l1_norm,l2_norm,approx_margin,intercept,C,penalty,l1_ratio,dual,n_support_per_class,n_support_total
Decision Tree,DT,ECFP4,OOD holdout,dt_drd2_hi_inner_ood_holdout_ecfp4,1,0.8551771770063913,0.9171713467005226,0.908,0.6979,0.05282282299360874,0.15727717700639132,0.21010000000000006,DecisionTreeClassifier,dt_drd2_hi_inner_ood_holdout_ecfp4,ecfp4,1024,20.0,101.0,51.0,48.0,0.046875,gini,20.0,sqrt,5.0,20.0,0.001,,8.395833333333334,4.902123618618998,0.0,18.0,,,,,,,,,,,,,,
Decision Tree,DT,ECFP4,OOD holdout,dt_drd2_hi_inner_ood_holdout_ecfp4,2,0.6998411944088918,0.8731814260225893,0.8189,0.7698,0.11905880559110815,-0.06995880559110823,0.04909999999999992,DecisionTreeClassifier,dt_drd2_hi_inner_ood_holdout_ecfp4,ecfp4,1024,15.0,75.0,38.0,37.0,0.0361328125,gini,15.0,log2,5.0,20.0,0.001,,6.594594594594595,3.9623870737388773,0.0,14.0,,,,,,,,,,,,,,
Decision Tree,DT,ECFP4,OOD holdout,dt_drd2_hi_inner_ood_holdout_ecfp4,3,0.7375155168503563,0.9056407452056573,0.8232,0.6815,0.08568448314964372,0.05601551685035633,0.14170000000000005,DecisionTreeClassifier,dt_drd2_hi_inner_ood_holdout_ecfp4,ecfp4,1024,7.0,75.0,38.0,35.0,0.0341796875,gini,7.0,log2,1.0,5.0,0.0001,,4.114285714285714,1.6348250858194247,0.0,6.0,,,,,,,,,,,,,,
Decision Tree,DT,ECFP4,Random shuffle,dt_drd2_hi_random_shuffle_ecfp4,1,0.9115345078494066,0.9601891359333161,0.9522,0.6237,0.04066549215059345,0.28783450784940656,0.3285,DecisionTreeClassifier,dt_drd2_hi_random_shuffle_ecfp4,ecfp4,1024,20.0,303.0,152.0,127.0,0.1240234375,gini,20.0,sqrt,5.0,2.0,0.0,balanced,9.385826771653543,4.915101658811202,0.0,19.0,,,,,,,,,,,,,,
Decision Tree,DT,ECFP4,Random shuffle,dt_drd2_hi_random_shuffle_ecfp4,2,0.8443975399363534,0.9043290226500871,0.8757,0.754,0.031302460063646675,0.09039753993635335,0.12170000000000003,DecisionTreeClassifier,dt_drd2_hi_random_shuffle_ecfp4,ecfp4,1024,15.0,173.0,87.0,78.0,0.076171875,gini,15.0,sqrt,5.0,20.0,0.0001,,7.448717948717949,3.5324409948342432,0.0,14.0,,,,,,,,,,,,,,
Decision Tree,DT,ECFP4,Random shuffle,dt_drd2_hi_random_shuffle_ecfp4,3,0.9096897043203851,0.9595722354542324,0.9573,0.6544,0.047610295679614945,0.2552897043203851,0.30290000000000006,DecisionTreeClassifier,dt_drd2_hi_random_shuffle_ecfp4,ecfp4,1024,20.0,215.0,108.0,86.0,0.083984375,entropy,20.0,,10.0,2.0,0.0,,7.709302325581396,4.374519984483527,0.0,19.0,,,,,,,,,,,,,,
Decision Tree,DT,MACCS,OOD holdout,dt_drd2_hi_inner_ood_holdout_maccs,1,0.8426971011888071,0.9366169350222263,0.9679,0.6262,0.12520289881119284,0.21649710118880716,0.3417,DecisionTreeClassifier,dt_drd2_hi_inner_ood_holdout_maccs,maccs,167,15.0,597.0,299.0,100.0,0.5988023952095808,gini,15.0,log2,2.0,5.0,0.0001,,6.77,2.6976100533620495,0.0,12.0,,,,,,,,,,,,,,
Decision Tree,DT,MACCS,OOD holdout,dt_drd2_hi_inner_ood_holdout_maccs,2,0.741046312402718,0.8618518741860058,0.8447,0.7569,0.103653687597282,-0.015853687597282007,0.08779999999999999,DecisionTreeClassifier,dt_drd2_hi_inner_ood_holdout_maccs,maccs,167,7.0,101.0,51.0,37.0,0.2215568862275449,gini,7.0,sqrt,5.0,2.0,0.0001,balanced,4.081081081081081,1.6337385145629637,0.0,6.0,,,,,,,,,,,,,,
Decision Tree,DT,MACCS,OOD holdout,dt_drd2_hi_inner_ood_holdout_maccs,3,0.7214272561563596,0.8456242670946886,0.787,0.6575,0.06557274384364042,0.06392725615635964,0.12950000000000006,DecisionTreeClassifier,dt_drd2_hi_inner_ood_holdout_maccs,maccs,167,3.0,11.0,6.0,5.0,0.029940119760479042,entropy,7.0,sqrt,1.0,5.0,0.01,,1.2,0.7483314773547883,0.0,2.0,,,,,,,,,,,,,,
Decision Tree,DT,MACCS,Random shuffle,dt_drd2_hi_random_shuffle_maccs,1,0.915752479745439,0.9562596864843036,0.9554,0.5913,0.039647520254560975,0.324452479745439,0.3641,DecisionTreeClassifier,dt_drd2_hi_random_shuffle_maccs,maccs,167,18.0,389.0,195.0,94.0,0.562874251497006,gini,20.0,sqrt,5.0,2.0,0.0,balanced,7.26595744680851,3.1662298269926907,0.0,15.0,,,,,,,,,,,,,,
Decision Tree,DT,MACCS,Random shuffle,dt_drd2_hi_random_shuffle_maccs,2,0.8488402545433467,0.9476726209873242,0.9495,0.7564,0.10065974545665335,0.0924402545433467,0.19310000000000005,DecisionTreeClassifier,dt_drd2_hi_random_shuffle_maccs,maccs,167,20.0,529.0,265.0,102.0,0.6107784431137725,gini,20.0,sqrt,2.0,10.0,0.0001,,6.813725490196078,3.050973461356108,0.0,16.0,,,,,,,,,,,,,,
Decision Tree,DT,MACCS,Random shuffle,dt_drd2_hi_random_shuffle_maccs,3,0.8996154039110311,0.9525321284057199,0.9458,0.6741,0.046184596088968854,0.2255154039110311,0.27169999999999994,DecisionTreeClassifier,dt_drd2_hi_random_shuffle_maccs,maccs,167,15.0,389.0,195.0,91.0,0.5449101796407185,gini,15.0,sqrt,2.0,20.0,0.0,balanced,6.604395604395604,2.88946217619698,0.0,14.0,,,,,,,,,,,,,,
Logistic Regression,LR,ECFP4,OOD holdout,lr_drd2_hi_inner_ood_holdout_ecfp4,1,0.8607152478855009,0.9543348474839631,0.9674,0.6795,0.10668475211449913,0.18121524788550092,0.28790000000000004,LogisticRegression,lr_drd2_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,376.0,0.6328125,60.24665210415013,4.033987412260196,0.24789368379305665,[-3.0853968987198948],0.1,deprecated,0.25,False,,
