model,fingerprint,protocol,fold,inner_pr_auc,test_pr_auc,ccp_alpha,class_weight,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,C,l1_ratio,model_order,fingerprint_order,protocol_order
Decision Tree,ECFP4,OOD holdout,1,0.8552,0.6979,0.001,,gini,20.0,sqrt,5.0,20.0,,,0,0,0
Decision Tree,ECFP4,OOD holdout,2,0.6998,0.7698,0.001,,gini,15.0,log2,5.0,20.0,,,0,0,0
Decision Tree,ECFP4,OOD holdout,3,0.7375,0.6815,0.0001,,gini,7.0,log2,1.0,5.0,,,0,0,0
Decision Tree,ECFP4,Random shuffle,1,0.9115,0.6237,0.0,balanced,gini,20.0,sqrt,5.0,2.0,,,0,0,1
Decision Tree,ECFP4,Random shuffle,2,0.8444,0.754,0.0001,,gini,15.0,sqrt,5.0,20.0,,,0,0,1
Decision Tree,ECFP4,Random shuffle,3,0.9097,0.6544,0.0,,entropy,20.0,,10.0,2.0,,,0,0,1
Decision Tree,MACCS,OOD holdout,1,0.8427,0.6262,0.0001,,gini,15.0,log2,2.0,5.0,,,0,1,0
Decision Tree,MACCS,OOD holdout,2,0.741,0.7569,0.0001,balanced,gini,7.0,sqrt,5.0,2.0,,,0,1,0
Decision Tree,MACCS,OOD holdout,3,0.7214,0.6575,0.01,,entropy,7.0,sqrt,1.0,5.0,,,0,1,0
Decision Tree,MACCS,Random shuffle,1,0.9158,0.5913,0.0,balanced,gini,20.0,sqrt,5.0,2.0,,,0,1,1
Decision Tree,MACCS,Random shuffle,2,0.8488,0.7564,0.0001,,gini,20.0,sqrt,2.0,10.0,,,0,1,1
Decision Tree,MACCS,Random shuffle,3,0.8996,0.6741,0.0,balanced,gini,15.0,sqrt,2.0,20.0,,,0,1,1
Logistic Regression,ECFP4,OOD holdout,1,0.8607,0.6795,,balanced,,,,,,0.1,0.25,1,0,0
Logistic Regression,ECFP4,OOD holdout,2,0.6675,0.8695,,balanced,,,,,,0.1,0.0,1,0,0
Logistic Regression,ECFP4,OOD holdout,3,0.7261,0.7226,,balanced,,,,,,0.05,1.0,1,0,0
Logistic Regression,ECFP4,Random shuffle,1,0.9366,0.6486,,balanced,,,,,,1.0,0.25,1,0,1
Logistic Regression,ECFP4,Random shuffle,2,0.8805,0.866,,balanced,,,,,,0.5,0.25,1,0,1
Logistic Regression,ECFP4,Random shuffle,3,0.9295,0.7884,,balanced,,,,,,0.1,0.0,1,0,1
Logistic Regression,MACCS,OOD holdout,1,0.8043,0.6403,,,,,,,,1.0,1.0,1,1,0
Logistic Regression,MACCS,OOD holdout,2,0.691,0.8075,,,,,,,,10.0,1.0,1,1,0
Logistic Regression,MACCS,OOD holdout,3,0.718,0.7904,,balanced,,,,,,10.0,1.0,1,1,0
Logistic Regression,MACCS,Random shuffle,1,0.8827,0.6598,,balanced,,,,,,10.0,0.5,1,1,1
Logistic Regression,MACCS,Random shuffle,2,0.8556,0.8047,,balanced,,,,,,10.0,1.0,1,1,1
Logistic Regression,MACCS,Random shuffle,3,0.8739,0.7904,,balanced,,,,,,10.0,1.0,1,1,1
Logistic Regression,RDKit desc,OOD holdout,1,0.8525,0.7247,,,,,,,,0.05,0.0,1,2,0
Logistic Regression,RDKit desc,OOD holdout,2,0.7176,0.8793,,,,,,,,5.0,1.0,1,2,0
Logistic Regression,RDKit desc,OOD holdout,3,0.7227,0.7608,,balanced,,,,,,0.01,0.25,1,2,0
Logistic Regression,RDKit desc,Random shuffle,1,0.9078,0.7349,,balanced,,,,,,10.0,0.5,1,2,1
Logistic Regression,RDKit desc,Random shuffle,2,0.8403,0.8731,,balanced,,,,,,10.0,0.5,1,2,1
Logistic Regression,RDKit desc,Random shuffle,3,0.8844,0.7059,,balanced,,,,,,10.0,0.0,1,2,1
Linear SVM,ECFP4,OOD holdout,1,0.8531,0.6434,,,,,,,,100.0,,2,0,0
Linear SVM,ECFP4,OOD holdout,2,0.6738,0.8613,,balanced,,,,,,0.01,,2,0,0
Linear SVM,ECFP4,OOD holdout,3,0.6862,0.755,,,,,,,,0.001,,2,0,0
Linear SVM,ECFP4,Random shuffle,1,0.9339,0.6587,,balanced,,,,,,0.25,,2,0,1
Linear SVM,ECFP4,Random shuffle,2,0.8724,0.8714,,balanced,,,,,,0.1,,2,0,1
Linear SVM,ECFP4,Random shuffle,3,0.9217,0.7873,,balanced,,,,,,0.1,,2,0,1
Linear SVM,MACCS,OOD holdout,1,0.8099,0.6489,,,,,,,,1.0,,2,1,0
Linear SVM,MACCS,OOD holdout,2,0.7131,0.7832,,balanced,,,,,,25.0,,2,1,0
Linear SVM,MACCS,OOD holdout,3,0.7147,0.786,,balanced,,,,,,50.0,,2,1,0
Linear SVM,MACCS,Random shuffle,1,0.8789,0.6559,,balanced,,,,,,25.0,,2,1,1
Linear SVM,MACCS,Random shuffle,2,0.8417,0.7843,,balanced,,,,,,100.0,,2,1,1
Linear SVM,MACCS,Random shuffle,3,0.8817,0.7828,,balanced,,,,,,10.0,,2,1,1
