model,model_short,fingerprint,protocol,fold,n_features,n_nonzero,mean_importance,max_importance,cumulative_top_10,cumulative_top_20,cumulative_top_50,min_depth_mean,min_depth_std,min_depth_min,min_depth_max
Decision Tree,dt,ecfp4,OOD holdout,1,1024,48,0.0009765624999999974,0.1651143125657736,0.47571690966008945,0.6982026869016887,0.9999999999999973,8.395833333333334,4.953999387270654,0.0,18.0
Decision Tree,dt,ecfp4,OOD holdout,2,1024,37,0.0009765624999999985,0.1081671047036721,0.5173857642492471,0.7627494508890276,0.9999999999999984,6.594594594594595,4.017043270446142,0.0,14.0
Decision Tree,dt,ecfp4,OOD holdout,3,1024,35,0.0009765624999999983,0.3091901385815156,0.7680157891364013,0.9086676710563798,0.9999999999999982,4.114285714285714,1.6586924079532288,0.0,6.0
Decision Tree,dt,ecfp4,Random shuffle,1,1024,127,0.0009765624999999941,0.1443621945408335,0.40081094024177494,0.5531202143843272,0.8348241758484747,9.385826771653543,4.934567484133545,0.0,19.0
Decision Tree,dt,ecfp4,Random shuffle,2,1024,78,0.0009765624999999962,0.06760572355426,0.3684379579625664,0.58105772640637,0.9151609252829249,7.448717948717949,3.555304929284286,0.0,14.0
Decision Tree,dt,ecfp4,Random shuffle,3,1024,86,0.000976562499999996,0.1017506072644565,0.40812051312434394,0.5887940061463425,0.876578248325452,7.709302325581396,4.40017721319539,0.0,19.0
Decision Tree,dt,maccs,OOD holdout,1,167,100,0.005988023952095779,0.0888012333748769,0.38205985419794436,0.5631267204765008,0.8633822339061269,6.77,2.711200114452281,0.0,12.0
Decision Tree,dt,maccs,OOD holdout,2,167,37,0.005988023952095799,0.1017589422703465,0.6596863870172752,0.8698585140312178,0.9999999999999984,4.081081081081081,1.6562739034481113,0.0,6.0
Decision Tree,dt,maccs,OOD holdout,3,167,5,0.005988023952095809,0.315535581943697,1.0,1.0,1.0,1.2,0.8366600265340756,0.0,2.0
Decision Tree,dt,maccs,Random shuffle,1,167,94,0.00598802395209578,0.1317496852786416,0.45325569481462924,0.6356419920282064,0.922115045169014,7.26595744680851,3.1832070523223437,0.0,15.0
