model,fingerprint,fold,category,smiles,true_label,pred_ood,pred_random,correct_ood,correct_random,pred_diff_abs
Decision Tree,ecfp4,1,both_correct,COc1cc2c(cc1O)[C@@H]1Cc3sccc3CN1CC2,True,0.5769230769230769,1.0,True,True,0.42307692307692313
Decision Tree,ecfp4,1,both_wrong,OC[C@H]1[C@H]2CN(Cc3ccccc3)[C@H](c3ccccc3)[C@H]2[C@@H]1N1CCCCC1,False,0.5769230769230769,1.0,False,False,0.42307692307692313
Decision Tree,ecfp4,1,ood_correct_random_wrong,Cn1c(SCCCN2CC3CCN(c4ccccc4OC(F)(F)F)C3C2)nnc1-c1cnccn1,True,0.9516129032258064,0.0,True,False,0.9516129032258064
Decision Tree,ecfp4,1,ood_wrong_random_correct,Cc1ncoc1-c1nnc(SCCCN2CCC3(c4cccc(C(F)(F)F)c4)CC3C2)n1C,False,0.9029126213592232,0.0,False,True,0.9029126213592232
Decision Tree,ecfp4,2,both_correct,O=C(NC/C=C/C[N+]1([O-])CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2ccccn2)cc1,False,0.4945454545454545,0.0,True,True,0.4945454545454545
Decision Tree,ecfp4,2,both_wrong,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CC2CCCC1N2Cc1ccc(F)cc1,True,0.4945454545454545,0.0454545454545454,False,False,0.4490909090909091
Decision Tree,ecfp4,2,ood_correct_random_wrong,COc1ccc2[nH]cc(CCCN3CCN(c4cccc5c4OCCO5)CC3)c2c1,True,0.9743589743589745,0.1428571428571428,True,False,0.8315018315018317
Decision Tree,ecfp4,2,ood_wrong_random_correct,CN(CCCCOc1ccc2c(c1)NC(=O)CC2)[C@@H]1Cc2cccc3[nH]c(=O)n(c23)C1,True,0.0,0.9642857142857144,False,True,0.9642857142857144
Decision Tree,ecfp4,3,both_correct,CN1CCN(C2=Nc3cc(Cl)ccc3N(NC(=O)c3c(F)cccc3C(F)(F)F)c3ccccc32)CC1,True,1.0,0.5625,True,True,0.4375
Decision Tree,ecfp4,3,both_wrong,CN1CCN(C2Cc3ccccc3Sc3ccc(-c4ccccc4)cc32)CC1,True,0.4324324324324324,0.0,False,False,0.4324324324324324
Decision Tree,ecfp4,3,ood_correct_random_wrong,COc1ccc(NC(=O)N2CCN(c3ccc(C(F)(F)F)cc3)CC2)cc1N1CCN(C)CC1,False,0.0,1.0,True,False,1.0
Decision Tree,ecfp4,3,ood_wrong_random_correct,O=C1CC(c2ccccc2)c2ccc(OCCCCN3CCC(c4noc5cc(F)ccc45)CC3)cc2O1,True,0.0769230769230769,1.0,False,True,0.9230769230769231
Decision Tree,maccs,1,both_correct,CCCN(CCC)C1CCc2ccc3[nH]cc(C=O)c3c2C1,True,0.5,1.0,True,True,0.5
Decision Tree,maccs,1,both_wrong,CCCN(CCN1CCN(C(=O)c2ccc(-c3ccccc3)cc2)CC1)C1CCc2nc(N)sc2C1,False,0.5,1.0,False,False,0.5
