model,fingerprint,protocol,Inner PR-AUC,Inner train PR-AUC,Train PR-AUC,Final OOD test PR-AUC,Inner-test gap,Train-test gap
Decision Tree,ECFP4,OOD holdout,0.7642 ± 0.0810,0.8987 ± 0.0228,0.8500 ± 0.0502,0.7164 ± 0.0470,0.0478 ± 0.1138,0.1336 ± 0.0808
Decision Tree,ECFP4,Random shuffle,0.8885 ± 0.0382,0.9414 ± 0.0321,0.9284 ± 0.0457,0.6774 ± 0.0681,0.2112 ± 0.1059,0.2510 ± 0.1127
Decision Tree,MACCS,OOD holdout,0.7684 ± 0.0651,0.8814 ± 0.0485,0.8665 ± 0.0924,0.6802 ± 0.0682,0.0882 ± 0.1181,0.1863 ± 0.1362
Decision Tree,MACCS,Random shuffle,0.8881 ± 0.0349,0.9522 ± 0.0043,0.9502 ± 0.0048,0.6739 ± 0.0826,0.2141 ± 0.1164,0.2763 ± 0.0856
Logistic Regression,ECFP4,OOD holdout,0.7514 ± 0.0991,0.9568 ± 0.0197,0.9441 ± 0.0347,0.7572 ± 0.0996,-0.0058 ± 0.1918,0.1869 ± 0.0985
Logistic Regression,ECFP4,Random shuffle,0.9155 ± 0.0306,0.9831 ± 0.0121,0.9803 ± 0.0117,0.7677 ± 0.1102,0.1479 ± 0.1369,0.2126 ± 0.1196
Logistic Regression,MACCS,OOD holdout,0.7377 ± 0.0592,0.9451 ± 0.0213,0.9080 ± 0.0143,0.7461 ± 0.0920,-0.0083 ± 0.1508,0.1619 ± 0.1032
Logistic Regression,MACCS,Random shuffle,0.8707 ± 0.0138,0.9186 ± 0.0201,0.9126 ± 0.0179,0.7516 ± 0.0799,0.1191 ± 0.0914,0.1609 ± 0.0963
Logistic Regression,RDKit desc,OOD holdout,0.7643 ± 0.0765,0.9300 ± 0.0146,0.9053 ± 0.0181,0.7883 ± 0.0809,-0.0240 ± 0.1453,0.1171 ± 0.0885
Logistic Regression,RDKit desc,Random shuffle,0.8775 ± 0.0343,0.9358 ± 0.0180,0.9302 ± 0.0193,0.7713 ± 0.0893,0.1062 ± 0.1204,0.1589 ± 0.1075
Linear SVM,ECFP4,OOD holdout,0.7377 ± 0.1002,0.9643 ± 0.0295,0.9431 ± 0.0470,0.7532 ± 0.1090,-0.0156 ± 0.2039,0.1899 ± 0.1499
Linear SVM,ECFP4,Random shuffle,0.9093 ± 0.0325,0.9807 ± 0.0093,0.9759 ± 0.0112,0.7725 ± 0.1071,0.1369 ± 0.1371,0.2034 ± 0.1183
Linear SVM,MACCS,OOD holdout,0.7459 ± 0.0554,0.9372 ± 0.0252,0.8986 ± 0.0125,0.7394 ± 0.0784,0.0065 ± 0.1338,0.1592 ± 0.0847
Linear SVM,MACCS,Random shuffle,0.8674 ± 0.0223,0.9091 ± 0.0240,0.9050 ± 0.0202,0.7410 ± 0.0737,0.1264 ± 0.0862,0.1640 ± 0.0913
