index,model,model_short,fingerprint,protocol,inner_pr_auc_mean,inner_pr_auc_std,test_pr_auc_mean,test_pr_auc_std,inner_test_gap_mean,inner_test_gap_std,train_test_gap_mean,train_test_gap_std,l2_norm_mean,l2_norm_std,n_nonzero_coefficients_mean,n_nonzero_coefficients_std,approx_margin_mean,approx_margin_std,effective_depth_mean,effective_depth_std,n_nodes_mean,n_nodes_std,n_leaves_mean,n_leaves_std,n_features_used_mean,n_features_used_std,feature_min_depth_mean_mean,feature_min_depth_mean_std
0,Decision Tree,DT,ECFP4,OOD holdout,0.7641779627552131,0.08102765817055756,0.7164,0.04696711615588085,0.04777796275521314,0.11384173628272536,0.13363333333333335,0.08080255771529354,,,,,,,14.0,6.557438524302,83.66666666666667,15.011106998930272,42.333333333333336,7.505553499465136,40.0,7.0,6.3682378807378806,2.149730337734036
1,Decision Tree,DT,ECFP4,Random shuffle,0.8885405840353817,0.03824012397680925,0.6773666666666666,0.0681184507555283,0.21117391736871502,0.10585363039805891,0.2510333333333334,0.11273496943421474,,,,,,,18.333333333333332,2.886751345948129,230.33333333333334,66.34254542398364,115.66666666666667,33.17127271199182,97.0,26.28687885618983,8.181282348650962,1.05127137533859
2,Decision Tree,DT,MACCS,OOD holdout,0.7683902232492948,0.06509501458512489,0.6802,0.06824287508597512,0.08819022324929493,0.11806032755118927,0.18633333333333335,0.13615734770233054,,,,,,,8.333333333333334,6.110100926607787,236.33333333333334,315.57143934984566,118.66666666666667,157.78571967492283,47.333333333333336,48.33563212924119,4.0170270270270265,2.7855524032731043
3,Decision Tree,DT,MACCS,Random shuffle,0.8880693793999389,0.034918397470129384,0.6739333333333333,0.0825501261860533,0.2141360460666056,0.11642394727683912,0.2763,0.08559275670288925,,,,,,,17.666666666666668,2.5166114784235836,435.6666666666667,80.82903768654761,218.33333333333334,40.414518843273804,95.66666666666667,5.6862407030773285,6.894692847133398,0.33813133912911864
4,Logistic Regression,LR,ECFP4,OOD holdout,0.7514395197359262,0.09906257321253631,0.7572000000000001,0.09961360348868024,-0.005760480264073831,0.1917656100362527,0.18686666666666665,0.09850565127612396,3.7397759587734747,1.850762426578822,477.3333333333333,501.7343254485718,0.33351046380931576,0.2058331150092952,,,,,,,,,,
5,Logistic Regression,LR,ECFP4,Random shuffle,0.9155292318627981,0.030557929340520627,0.7676666666666666,0.11017301544994282,0.14786256519613142,0.1369064123411519,0.2126,0.11964150617574155,10.438022177733396,5.051099297427798,842.0,159.00943368240766,0.11607928356728552,0.06508526693621638,,,,,,,,,,
6,Logistic Regression,LR,MACCS,OOD holdout,0.7377439124235269,0.05916146656975246,0.7460666666666667,0.09199480057771382,-0.00832275424313981,0.1508180591314158,0.16190000000000002,0.10324286900314229,16.47105084721719,7.86936701688051,126.33333333333333,21.1266025033211,0.07676995977219861,0.050464246737789514,,,,,,,,,,
7,Logistic Regression,LR,MACCS,Random shuffle,0.8707470822424641,0.013824864574635384,0.7516333333333334,0.07985075662342418,0.11911374890913085,0.0913585218392419,0.16093333333333334,0.09632908871848277,19.004970530225048,3.7122364770378864,140.0,3.605551275463989,0.054148542650436594,0.011770860281317913,,,,,,,,,,
8,Logistic Regression,LR,RDKit desc,OOD holdout,0.7642563961178249,0.07648693716970095,0.7882666666666666,0.08087708781437006,-0.02401027054884175,0.1453011704943322,0.11706666666666665,0.08853023965478309,3.7450948576543106,4.334217714141644,149.66666666666666,77.78388864882838,0.7300884470212576,0.7365905756323315,,,,,,,,,,
9,Logistic Regression,LR,RDKit desc,Random shuffle,0.8774979862662602,0.034276161538541614,0.7713,0.08934584489499217,0.10619798626626024,0.12040485210423482,0.15893333333333334,0.10745870524686836,8.895681587631499,1.245988436378536,198.0,1.0,0.11400145370545507,0.01702374478354983,,,,,,,,,,
10,SVM linear,SVM,ECFP4,OOD holdout,0.7376815508338447,0.10016691804504457,0.7532333333333333,0.10896074216585225,-0.015551782499488557,0.2039215921223212,0.18990000000000004,0.14988458893428633,22.075379081662916,36.08510814371423,999.6666666666666,15.04437879519567,1.155497509936385,1.6028687612879147,,,,,,,,,,
11,SVM linear,SVM,ECFP4,Random shuffle,0.9093387547248164,0.03254069761620523,0.7724666666666667,0.10712302895891866,0.13687208805814974,0.1370996757913789,0.20340000000000003,0.11827692082566237,7.29468528755712,1.7644811866411025,1004.6666666666666,6.0277137733417065,0.14195008637537768,0.030168462349128167,,,,,,,,,,
12,SVM linear,SVM,MACCS,OOD holdout,0.7458904485088079,0.05542587052947665,0.7393666666666667,0.07835893907738495,0.006523781842141234,0.13376863097501968,0.1592333333333333,0.08470031483609333,12.442291224799256,5.883497636875915,146.0,2.6457513110645907,0.10108988848006968,0.0657298318513017,,,,,,,,,,
13,SVM linear,SVM,MACCS,Random shuffle,0.8674192098947242,0.022341545012892927,0.741,0.07370257797390811,0.12641920989472413,0.0861623139035069,0.16399999999999995,0.09128521238404388,14.93289240217117,2.5903108698640036,146.0,2.0,0.06827316882552875,0.011345332322970402,,,,,,,,,,
