model,fingerprint,protocol,fold,C,class_weight,l2_norm,approx_margin,n_nonzero_coefficients,inner_pr_auc,test_pr_auc,inner_test_gap,train_test_gap
SVM linear,ECFP4,OOD holdout,1,100.0,,63.729514355667824,0.01569131681153419,990.0,0.8531224223523477,0.6434,0.20972242235234773,0.3537
SVM linear,ECFP4,OOD holdout,2,0.01,balanced,2.16198024391214,0.4625389167250127,1017.0,0.6737590704174629,0.8613,-0.1875409295825371,0.0596000000000001
SVM linear,ECFP4,OOD holdout,3,0.001,,0.3346426454087864,2.9882622962726075,992.0,0.6861631597317237,0.755,-0.0688368402682763,0.15639999999999998
SVM linear,ECFP4,Random shuffle,1,0.25,balanced,9.33052741394308,0.10717507763876769,999.0,0.9338965685020507,0.6587,0.27519656850205076,0.32910000000000006
SVM linear,ECFP4,Random shuffle,2,0.1,balanced,6.3467926852540515,0.1575598967212794,1011.0,0.8724309554897839,0.8714,0.0010309554897839357,0.09430000000000005
SVM linear,ECFP4,Random shuffle,3,0.1,balanced,6.206735763474227,0.16111528476608594,1004.0,0.9216887401826145,0.7873,0.13438874018261449,0.18679999999999997
SVM linear,MACCS,OOD holdout,1,1.0,,5.650165947137047,0.17698595215715787,147.0,0.8098847215847476,0.6489,0.16098472158474753,0.25639999999999996
SVM linear,MACCS,OOD holdout,2,25.0,balanced,15.71257587457409,0.06364328853413452,148.0,0.7131337831288191,0.7832,-0.07006621687118086,0.10099999999999998
SVM linear,MACCS,OOD holdout,3,50.0,balanced,15.964131852686629,0.06264042474891664,143.0,0.7146528408128571,0.786,-0.07134715918714296,0.12029999999999996
SVM linear,MACCS,Random shuffle,1,25.0,balanced,12.681475063574899,0.07885518009433365,146.0,0.8788779224817541,0.6559,0.22297792248175408,0.26849999999999996
SVM linear,MACCS,Random shuffle,2,100.0,balanced,17.76390174235895,0.05629393893884517,148.0,0.8416731589952309,0.7843,0.05737315899523088,0.0998
SVM linear,MACCS,Random shuffle,3,10.0,balanced,14.35330040057966,0.06967038744340744,144.0,0.8817065482071875,0.7828,0.09890654820718747,0.12369999999999992
