feature_idx,feature_name,feature_value,feature_weight,contribution,abs_contribution,direction,model,fingerprint,protocol,fold,model_short,smiles,category,true_label,pred_ood,pred_random
15,ecfp4_feature_15,1.0,0.6246257689513088,0.6246257689513088,0.6246257689513088,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,Cc1ncoc1-c1nnc(SCCCN2CCC3CC3(c3ccccc3)C2)n1C,both_correct,True,0.5009060465881903,0.9836557685624722
926,ecfp4_feature_926,1.0,0.5166083758589091,0.5166083758589091,0.5166083758589091,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,Cc1ncoc1-c1nnc(SCCCN2CCC3CC3(c3ccccc3)C2)n1C,both_correct,True,0.5009060465881903,0.9836557685624722
887,ecfp4_feature_887,1.0,0.46895986247495564,0.46895986247495564,0.46895986247495564,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,Cc1ncoc1-c1nnc(SCCCN2CCC3CC3(c3ccccc3)C2)n1C,both_correct,True,0.5009060465881903,0.9836557685624722
237,ecfp4_feature_237,1.0,0.41559436575847475,0.41559436575847475,0.41559436575847475,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,Cc1ncoc1-c1nnc(SCCCN2CCC3CC3(c3ccccc3)C2)n1C,both_correct,True,0.5009060465881903,0.9836557685624722
121,ecfp4_feature_121,1.0,0.3975808484738767,0.3975808484738767,0.3975808484738767,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,Cc1ncoc1-c1nnc(SCCCN2CCC3CC3(c3ccccc3)C2)n1C,both_correct,True,0.5009060465881903,0.9836557685624722
767,ecfp4_feature_767,1.0,0.3827640069322672,0.3827640069322672,0.3827640069322672,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,Cc1ncoc1-c1nnc(SCCCN2CCC3CC3(c3ccccc3)C2)n1C,both_correct,True,0.5009060465881903,0.9836557685624722
562,ecfp4_feature_562,1.0,-0.3295128555145155,-0.3295128555145155,0.3295128555145155,toward_inactive,Logistic Regression,ecfp4,OOD holdout,1,lr,Cc1ncoc1-c1nnc(SCCCN2CCC3CC3(c3ccccc3)C2)n1C,both_correct,True,0.5009060465881903,0.9836557685624722
366,ecfp4_feature_366,1.0,-0.3152204547320078,-0.3152204547320078,0.3152204547320078,toward_inactive,Logistic Regression,ecfp4,OOD holdout,1,lr,Cc1ncoc1-c1nnc(SCCCN2CCC3CC3(c3ccccc3)C2)n1C,both_correct,True,0.5009060465881903,0.9836557685624722
140,ecfp4_feature_140,1.0,0.29717783483449683,0.29717783483449683,0.29717783483449683,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,Cc1ncoc1-c1nnc(SCCCN2CCC3CC3(c3ccccc3)C2)n1C,both_correct,True,0.5009060465881903,0.9836557685624722
554,ecfp4_feature_554,1.0,0.29391395106766144,0.29391395106766144,0.29391395106766144,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,Cc1ncoc1-c1nnc(SCCCN2CCC3CC3(c3ccccc3)C2)n1C,both_correct,True,0.5009060465881903,0.9836557685624722
698,ecfp4_feature_698,1.0,-0.270771613920827,-0.270771613920827,0.270771613920827,toward_inactive,Logistic Regression,ecfp4,OOD holdout,1,lr,Cc1ncoc1-c1nnc(SCCCN2CCC3CC3(c3ccccc3)C2)n1C,both_correct,True,0.5009060465881903,0.9836557685624722
484,ecfp4_feature_484,1.0,0.24164697538374635,0.24164697538374635,0.24164697538374635,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,Cc1ncoc1-c1nnc(SCCCN2CCC3CC3(c3ccccc3)C2)n1C,both_correct,True,0.5009060465881903,0.9836557685624722
456,ecfp4_feature_456,1.0,0.2360750308601001,0.2360750308601001,0.2360750308601001,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,Cc1ncoc1-c1nnc(SCCCN2CCC3CC3(c3ccccc3)C2)n1C,both_correct,True,0.5009060465881903,0.9836557685624722
175,ecfp4_feature_175,1.0,-0.2316772957172396,-0.2316772957172396,0.2316772957172396,toward_inactive,Logistic Regression,ecfp4,OOD holdout,1,lr,Cc1ncoc1-c1nnc(SCCCN2CCC3CC3(c3ccccc3)C2)n1C,both_correct,True,0.5009060465881903,0.9836557685624722
528,ecfp4_feature_528,1.0,0.22592808195539832,0.22592808195539832,0.22592808195539832,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,Cc1ncoc1-c1nnc(SCCCN2CCC3CC3(c3ccccc3)C2)n1C,both_correct,True,0.5009060465881903,0.9836557685624722
428,ecfp4_feature_428,1.0,-0.22359449613980567,-0.22359449613980567,0.22359449613980567,toward_inactive,Logistic Regression,ecfp4,OOD holdout,1,lr,Cc1ncoc1-c1nnc(SCCCN2CCC3CC3(c3ccccc3)C2)n1C,both_correct,True,0.5009060465881903,0.9836557685624722
301,ecfp4_feature_301,1.0,-0.22304106146539893,-0.22304106146539893,0.22304106146539893,toward_inactive,Logistic Regression,ecfp4,OOD holdout,1,lr,Cc1ncoc1-c1nnc(SCCCN2CCC3CC3(c3ccccc3)C2)n1C,both_correct,True,0.5009060465881903,0.9836557685624722
209,ecfp4_feature_209,1.0,0.21368103125539056,0.21368103125539056,0.21368103125539056,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,Cc1ncoc1-c1nnc(SCCCN2CCC3CC3(c3ccccc3)C2)n1C,both_correct,True,0.5009060465881903,0.9836557685624722
33,ecfp4_feature_33,1.0,-0.17717490826685592,-0.17717490826685592,0.17717490826685592,toward_inactive,Logistic Regression,ecfp4,OOD holdout,1,lr,Cc1ncoc1-c1nnc(SCCCN2CCC3CC3(c3ccccc3)C2)n1C,both_correct,True,0.5009060465881903,0.9836557685624722
116,ecfp4_feature_116,1.0,0.17161777285272845,0.17161777285272845,0.17161777285272845,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,Cc1ncoc1-c1nnc(SCCCN2CCC3CC3(c3ccccc3)C2)n1C,both_correct,True,0.5009060465881903,0.9836557685624722
926,ecfp4_feature_926,1.0,0.5166083758589091,0.5166083758589091,0.5166083758589091,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,CN1CCc2cc(-c3ccc(O)cc3)c(O)cc2C(c2ccccc2)C1,both_wrong,False,0.5042619322502015,0.9708513236937022
207,ecfp4_feature_207,1.0,0.4906778621492587,0.4906778621492587,0.4906778621492587,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,CN1CCc2cc(-c3ccc(O)cc3)c(O)cc2C(c2ccccc2)C1,both_wrong,False,0.5042619322502015,0.9708513236937022
212,ecfp4_feature_212,1.0,0.4632585639367721,0.4632585639367721,0.4632585639367721,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,CN1CCc2cc(-c3ccc(O)cc3)c(O)cc2C(c2ccccc2)C1,both_wrong,False,0.5042619322502015,0.9708513236937022
578,ecfp4_feature_578,1.0,0.4620683197578175,0.4620683197578175,0.4620683197578175,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,CN1CCc2cc(-c3ccc(O)cc3)c(O)cc2C(c2ccccc2)C1,both_wrong,False,0.5042619322502015,0.9708513236937022
121,ecfp4_feature_121,1.0,0.3975808484738767,0.3975808484738767,0.3975808484738767,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,CN1CCc2cc(-c3ccc(O)cc3)c(O)cc2C(c2ccccc2)C1,both_wrong,False,0.5042619322502015,0.9708513236937022
807,ecfp4_feature_807,1.0,-0.3645350976212856,-0.3645350976212856,0.3645350976212856,toward_inactive,Logistic Regression,ecfp4,OOD holdout,1,lr,CN1CCc2cc(-c3ccc(O)cc3)c(O)cc2C(c2ccccc2)C1,both_wrong,False,0.5042619322502015,0.9708513236937022
3,ecfp4_feature_3,1.0,0.28215791780153243,0.28215791780153243,0.28215791780153243,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,CN1CCc2cc(-c3ccc(O)cc3)c(O)cc2C(c2ccccc2)C1,both_wrong,False,0.5042619322502015,0.9708513236937022
222,ecfp4_feature_222,1.0,0.27103262592214783,0.27103262592214783,0.27103262592214783,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,CN1CCc2cc(-c3ccc(O)cc3)c(O)cc2C(c2ccccc2)C1,both_wrong,False,0.5042619322502015,0.9708513236937022
714,ecfp4_feature_714,1.0,0.25060207897671366,0.25060207897671366,0.25060207897671366,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,CN1CCc2cc(-c3ccc(O)cc3)c(O)cc2C(c2ccccc2)C1,both_wrong,False,0.5042619322502015,0.9708513236937022
639,ecfp4_feature_639,1.0,0.2473093035100507,0.2473093035100507,0.2473093035100507,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,CN1CCc2cc(-c3ccc(O)cc3)c(O)cc2C(c2ccccc2)C1,both_wrong,False,0.5042619322502015,0.9708513236937022
456,ecfp4_feature_456,1.0,0.2360750308601001,0.2360750308601001,0.2360750308601001,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,CN1CCc2cc(-c3ccc(O)cc3)c(O)cc2C(c2ccccc2)C1,both_wrong,False,0.5042619322502015,0.9708513236937022
175,ecfp4_feature_175,1.0,-0.2316772957172396,-0.2316772957172396,0.2316772957172396,toward_inactive,Logistic Regression,ecfp4,OOD holdout,1,lr,CN1CCc2cc(-c3ccc(O)cc3)c(O)cc2C(c2ccccc2)C1,both_wrong,False,0.5042619322502015,0.9708513236937022
754,ecfp4_feature_754,1.0,-0.22459255069183823,-0.22459255069183823,0.22459255069183823,toward_inactive,Logistic Regression,ecfp4,OOD holdout,1,lr,CN1CCc2cc(-c3ccc(O)cc3)c(O)cc2C(c2ccccc2)C1,both_wrong,False,0.5042619322502015,0.9708513236937022
136,ecfp4_feature_136,1.0,0.21922876399496838,0.21922876399496838,0.21922876399496838,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,CN1CCc2cc(-c3ccc(O)cc3)c(O)cc2C(c2ccccc2)C1,both_wrong,False,0.5042619322502015,0.9708513236937022
33,ecfp4_feature_33,1.0,-0.17717490826685592,-0.17717490826685592,0.17717490826685592,toward_inactive,Logistic Regression,ecfp4,OOD holdout,1,lr,CN1CCc2cc(-c3ccc(O)cc3)c(O)cc2C(c2ccccc2)C1,both_wrong,False,0.5042619322502015,0.9708513236937022
896,ecfp4_feature_896,1.0,-0.1678088848471425,-0.1678088848471425,0.1678088848471425,toward_inactive,Logistic Regression,ecfp4,OOD holdout,1,lr,CN1CCc2cc(-c3ccc(O)cc3)c(O)cc2C(c2ccccc2)C1,both_wrong,False,0.5042619322502015,0.9708513236937022
726,ecfp4_feature_726,1.0,0.13437690072872846,0.13437690072872846,0.13437690072872846,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,CN1CCc2cc(-c3ccc(O)cc3)c(O)cc2C(c2ccccc2)C1,both_wrong,False,0.5042619322502015,0.9708513236937022
739,ecfp4_feature_739,1.0,-0.12410395707194548,-0.12410395707194548,0.12410395707194548,toward_inactive,Logistic Regression,ecfp4,OOD holdout,1,lr,CN1CCc2cc(-c3ccc(O)cc3)c(O)cc2C(c2ccccc2)C1,both_wrong,False,0.5042619322502015,0.9708513236937022
29,ecfp4_feature_29,1.0,0.11839398756671722,0.11839398756671722,0.11839398756671722,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,CN1CCc2cc(-c3ccc(O)cc3)c(O)cc2C(c2ccccc2)C1,both_wrong,False,0.5042619322502015,0.9708513236937022
389,ecfp4_feature_389,1.0,0.08426837901150966,0.08426837901150966,0.08426837901150966,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,CN1CCc2cc(-c3ccc(O)cc3)c(O)cc2C(c2ccccc2)C1,both_wrong,False,0.5042619322502015,0.9708513236937022
578,ecfp4_feature_578,1.0,0.4620683197578175,0.4620683197578175,0.4620683197578175,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,O=S(=O)(c1ccc(/C=C/c2ccc(F)cc2O)nc1)c1ccccc1F,ood_correct_random_wrong,False,0.0683632753432541,0.8850250701503765
386,ecfp4_feature_386,1.0,0.4269295996639938,0.4269295996639938,0.4269295996639938,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,O=S(=O)(c1ccc(/C=C/c2ccc(F)cc2O)nc1)c1ccccc1F,ood_correct_random_wrong,False,0.0683632753432541,0.8850250701503765
807,ecfp4_feature_807,1.0,-0.3645350976212856,-0.3645350976212856,0.3645350976212856,toward_inactive,Logistic Regression,ecfp4,OOD holdout,1,lr,O=S(=O)(c1ccc(/C=C/c2ccc(F)cc2O)nc1)c1ccccc1F,ood_correct_random_wrong,False,0.0683632753432541,0.8850250701503765
455,ecfp4_feature_455,1.0,0.30771322806370927,0.30771322806370927,0.30771322806370927,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,O=S(=O)(c1ccc(/C=C/c2ccc(F)cc2O)nc1)c1ccccc1F,ood_correct_random_wrong,False,0.0683632753432541,0.8850250701503765
175,ecfp4_feature_175,1.0,-0.2316772957172396,-0.2316772957172396,0.2316772957172396,toward_inactive,Logistic Regression,ecfp4,OOD holdout,1,lr,O=S(=O)(c1ccc(/C=C/c2ccc(F)cc2O)nc1)c1ccccc1F,ood_correct_random_wrong,False,0.0683632753432541,0.8850250701503765
428,ecfp4_feature_428,1.0,-0.22359449613980567,-0.22359449613980567,0.22359449613980567,toward_inactive,Logistic Regression,ecfp4,OOD holdout,1,lr,O=S(=O)(c1ccc(/C=C/c2ccc(F)cc2O)nc1)c1ccccc1F,ood_correct_random_wrong,False,0.0683632753432541,0.8850250701503765
816,ecfp4_feature_816,1.0,-0.18093524983436948,-0.18093524983436948,0.18093524983436948,toward_inactive,Logistic Regression,ecfp4,OOD holdout,1,lr,O=S(=O)(c1ccc(/C=C/c2ccc(F)cc2O)nc1)c1ccccc1F,ood_correct_random_wrong,False,0.0683632753432541,0.8850250701503765
55,ecfp4_feature_55,1.0,0.1522583241999431,0.1522583241999431,0.1522583241999431,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,O=S(=O)(c1ccc(/C=C/c2ccc(F)cc2O)nc1)c1ccccc1F,ood_correct_random_wrong,False,0.0683632753432541,0.8850250701503765
646,ecfp4_feature_646,1.0,0.13527496128915587,0.13527496128915587,0.13527496128915587,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,O=S(=O)(c1ccc(/C=C/c2ccc(F)cc2O)nc1)c1ccccc1F,ood_correct_random_wrong,False,0.0683632753432541,0.8850250701503765
726,ecfp4_feature_726,1.0,0.13437690072872846,0.13437690072872846,0.13437690072872846,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,O=S(=O)(c1ccc(/C=C/c2ccc(F)cc2O)nc1)c1ccccc1F,ood_correct_random_wrong,False,0.0683632753432541,0.8850250701503765
715,ecfp4_feature_715,1.0,0.102632036726991,0.102632036726991,0.102632036726991,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,O=S(=O)(c1ccc(/C=C/c2ccc(F)cc2O)nc1)c1ccccc1F,ood_correct_random_wrong,False,0.0683632753432541,0.8850250701503765
904,ecfp4_feature_904,1.0,-0.09839399164254899,-0.09839399164254899,0.09839399164254899,toward_inactive,Logistic Regression,ecfp4,OOD holdout,1,lr,O=S(=O)(c1ccc(/C=C/c2ccc(F)cc2O)nc1)c1ccccc1F,ood_correct_random_wrong,False,0.0683632753432541,0.8850250701503765
835,ecfp4_feature_835,1.0,-0.07716560594388376,-0.07716560594388376,0.07716560594388376,toward_inactive,Logistic Regression,ecfp4,OOD holdout,1,lr,O=S(=O)(c1ccc(/C=C/c2ccc(F)cc2O)nc1)c1ccccc1F,ood_correct_random_wrong,False,0.0683632753432541,0.8850250701503765
73,ecfp4_feature_73,1.0,-0.06656519429479163,-0.06656519429479163,0.06656519429479163,toward_inactive,Logistic Regression,ecfp4,OOD holdout,1,lr,O=S(=O)(c1ccc(/C=C/c2ccc(F)cc2O)nc1)c1ccccc1F,ood_correct_random_wrong,False,0.0683632753432541,0.8850250701503765
583,ecfp4_feature_583,1.0,0.05220349906144095,0.05220349906144095,0.05220349906144095,toward_active,Logistic Regression,ecfp4,OOD holdout,1,lr,O=S(=O)(c1ccc(/C=C/c2ccc(F)cc2O)nc1)c1ccccc1F,ood_correct_random_wrong,False,0.0683632753432541,0.8850250701503765
961,ecfp4_feature_961,1.0,-0.03739046605572017,-0.03739046605572017,0.03739046605572017,toward_inactive,Logistic Regression,ecfp4,OOD holdout,1,lr,O=S(=O)(c1ccc(/C=C/c2ccc(F)cc2O)nc1)c1ccccc1F,ood_correct_random_wrong,False,0.0683632753432541,0.8850250701503765
64,ecfp4_feature_64,1.0,-0.012681900900520673,-0.012681900900520673,0.012681900900520673,toward_inactive,Logistic Regression,ecfp4,OOD holdout,1,lr,O=S(=O)(c1ccc(/C=C/c2ccc(F)cc2O)nc1)c1ccccc1F,ood_correct_random_wrong,False,0.0683632753432541,0.8850250701503765
378,ecfp4_feature_378,1.0,-0.007227860657688544,-0.007227860657688544,0.007227860657688544,toward_inactive,Logistic Regression,ecfp4,OOD holdout,1,lr,O=S(=O)(c1ccc(/C=C/c2ccc(F)cc2O)nc1)c1ccccc1F,ood_correct_random_wrong,False,0.0683632753432541,0.8850250701503765
0,ecfp4_feature_0,0.0,0.03134539119402388,0.0,0.0,zero,Logistic Regression,ecfp4,OOD holdout,1,lr,O=S(=O)(c1ccc(/C=C/c2ccc(F)cc2O)nc1)c1ccccc1F,ood_correct_random_wrong,False,0.0683632753432541,0.8850250701503765
1,ecfp4_feature_1,0.0,-0.2235983887342284,-0.0,0.0,zero,Logistic Regression,ecfp4,OOD holdout,1,lr,O=S(=O)(c1ccc(/C=C/c2ccc(F)cc2O)nc1)c1ccccc1F,ood_correct_random_wrong,False,0.0683632753432541,0.8850250701503765
