index,model,model_short,fingerprint,protocol,inner_pr_auc_mean,inner_pr_auc_std,test_pr_auc_mean,test_pr_auc_std,inner_test_gap_mean,inner_test_gap_std,train_test_gap_mean,train_test_gap_std,l2_norm_mean,l2_norm_std,n_nonzero_coefficients_mean,n_nonzero_coefficients_std,approx_margin_mean,approx_margin_std,effective_depth_mean,effective_depth_std,n_nodes_mean,n_nodes_std,n_leaves_mean,n_leaves_std,n_features_used_mean,n_features_used_std,feature_min_depth_mean_mean,feature_min_depth_mean_std
0,Decision Tree,DT,ECFP4,OOD holdout,0.09432122894367416,0.015922414996143983,0.04666666666666667,0.02532238798639128,0.04765456227700748,0.0313708901967198,0.2523,0.20692392321817216,,,,,,,11.0,6.928203230275509,261.6666666666667,216.30842178087596,131.33333333333334,108.15421089043798,108.66666666666667,89.23190759662899,6.216420361247948,4.151054761366122
1,Decision Tree,DT,ECFP4,Random shuffle,0.36746387058018176,0.023125346756719626,0.05960000000000001,0.03074882111561352,0.3078638705801817,0.05343182755421654,0.3831,0.08444826818828202,,,,,,,15.0,0.0,480.3333333333333,128.0833062242435,240.66666666666666,64.04165311212175,184.66666666666666,43.61574639202376,8.386043494498935,0.2582222557695417
2,Decision Tree,DT,MACCS,OOD holdout,0.1794338220699275,0.0498814666763054,0.07776666666666666,0.06264473907147618,0.10166715540326084,0.11131739131773612,0.2668,0.15148874545655197,,,,,,,11.0,3.605551275463989,374.3333333333333,185.0549467950893,187.66666666666666,92.52747339754465,98.0,24.331050121192877,6.149677223361434,1.3141139186386697
3,Decision Tree,DT,MACCS,Random shuffle,0.3892591645466697,0.04902266174966796,0.05363333333333334,0.014835879931211814,0.3356258312133364,0.054006622930418594,0.4543,0.08013657092738621,,,,,,,15.0,0.0,869.6666666666666,90.1849950564579,435.3333333333333,45.09249752822895,130.33333333333334,5.131601439446885,6.936481698622601,0.26156905120932655
4,Logistic Regression,LR,ECFP4,OOD holdout,0.12846400696859225,0.03275308381210923,0.057666666666666665,0.02408844813044903,0.07079734030192558,0.05577917135743718,0.39576666666666666,0.08931172002225314,9.225545356329908,6.04217244991437,701.0,516.7562287965187,0.15969851509168012,0.12615621639273433,,,,,,,,,,
5,Logistic Regression,LR,ECFP4,Random shuffle,0.47527809304271074,0.044702058232792136,0.07136666666666668,0.03754681522224399,0.4039114263760441,0.08223625833136672,0.5283666666666667,0.09439969985827985,5.9226279769378065,0.4323817674055953,1024.0,0.0,0.16946083198390485,0.012682089373324575,,,,,,,,,,
6,Logistic Regression,LR,MACCS,OOD holdout,0.17530824783159482,0.06368727433722553,0.11286666666666667,0.07750356981025669,0.06244158116492815,0.13757452513031954,0.11526666666666667,0.12229784680579349,10.831128416475003,11.525843769351443,124.33333333333333,62.740205078827515,0.2405948246214066,0.25809240303727127,,,,,,,,,,
7,Logistic Regression,LR,MACCS,Random shuffle,0.34235882121544764,0.04253551511232302,0.10013333333333334,0.05942224611484603,0.24222548788211432,0.10081362976664816,0.2647,0.08917690283924425,5.654462559932573,2.672124665030843,162.66666666666666,0.5773502691896278,0.21430081770706286,0.12219574841989699,,,,,,,,,,
8,Logistic Regression,LR,RDKit desc,OOD holdout,0.17206213677547053,0.04764507564677577,0.08850000000000001,0.047301268481933965,0.08356213677547049,0.022093280466462663,0.3353333333333333,0.11518686267684058,2.8308188863508605,2.2527577018671683,214.33333333333334,1.1547005383792495,0.5338007239704387,0.37115192811504155,,,,,,,,,,
9,Logistic Regression,LR,RDKit desc,Random shuffle,0.3778560870409815,0.06613165502334566,0.08873333333333333,0.0453018027603023,0.2891227537076482,0.08477022751807313,0.32886666666666664,0.10910363574754663,1.815005249764954,0.7415397553921353,148.66666666666666,60.05275458572516,0.6157714502036913,0.24444758206375805,,,,,,,,,,
10,SVM linear,SVM,ECFP4,OOD holdout,0.09821349546275825,0.017833700330294345,0.053233333333333334,0.01982178935750588,0.044980162129424905,0.02945224299693888,0.5505666666666668,0.033771338933085454,5.0835464436688556,1.8464311711394836,1024.0,0.0,0.2132193889955094,0.06906859877417863,,,,,,,,,,
11,SVM linear,SVM,ECFP4,Random shuffle,0.4333219527408719,0.06450016347370392,0.07283333333333333,0.0491041070923129,0.36048861940753857,0.1093939558647353,0.5003333333333333,0.1531125838503594,4.0592582241665305,1.1004783379830523,1024.0,0.0,0.2598078029330844,0.07527794266791538,,,,,,,,,,
12,SVM linear,SVM,MACCS,OOD holdout,0.1629549439230761,0.05802153168989671,0.10343333333333334,0.05317276871983754,0.05952161058974276,0.09307454766518815,0.14253333333333332,0.08705000478652102,2.6189235599791765,2.5806404339465665,163.33333333333334,0.5773502691896278,43.122143721721336,74.19920797417073,,,,,,,,,,
13,SVM linear,SVM,MACCS,Random shuffle,0.2815595874264012,0.059798376393408105,0.10610000000000001,0.0683079058381971,0.1754595874264012,0.12733558801552164,0.15513333333333332,0.09831624145243416,0.005923084591570084,0.0012665394274445898,163.33333333333334,0.5773502691896278,174.9101255841108,42.647364347432955,,,,,,,,,,
