protocol,fingerprint,fold,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,ccp_alpha,class_weight,inner_pr_auc,test_pr_auc
OOD holdout,ECFP4,1,entropy,3.0,log2,5.0,10.0,0.0,,0.1125,0.0395
OOD holdout,ECFP4,2,gini,15.0,log2,5.0,20.0,0.0,,0.0874,0.0748
OOD holdout,ECFP4,3,entropy,15.0,sqrt,5.0,10.0,0.0001,balanced,0.083,0.0257
Random shuffle,ECFP4,1,gini,15.0,sqrt,5.0,20.0,0.0,,0.3496,0.0893
Random shuffle,ECFP4,2,gini,15.0,sqrt,5.0,20.0,0.0,balanced,0.3592,0.0616
Random shuffle,ECFP4,3,gini,15.0,sqrt,5.0,10.0,0.0,balanced,0.3936,0.0279
OOD holdout,MACCS,1,entropy,8.0,log2,5.0,50.0,0.0001,,0.1218,0.147
OOD holdout,MACCS,2,entropy,15.0,sqrt,20.0,10.0,0.0,,0.2083,0.0613
OOD holdout,MACCS,3,gini,10.0,sqrt,10.0,50.0,0.0,balanced,0.2082,0.025
Random shuffle,MACCS,1,gini,15.0,sqrt,5.0,20.0,0.0,,0.3328,0.0584
Random shuffle,MACCS,2,gini,15.0,sqrt,10.0,10.0,0.0,balanced,0.4213,0.0655
Random shuffle,MACCS,3,entropy,15.0,sqrt,5.0,20.0,0.0001,balanced,0.4136,0.037
