model,model_short,fingerprint,protocol,inner_mean,inner_std,inner_train_mean,inner_train_std,train_mean,train_std,test_mean,test_std,inner_test_gap_mean,inner_test_gap_std,train_test_gap_mean,train_test_gap_std,model_order,fingerprint_order,protocol_order
Decision Tree,DT,ECFP4,OOD holdout,0.09432122894367416,0.015922414996143983,0.22527799936340584,0.2794306059173333,0.29896666666666666,0.19594469457817262,0.04666666666666667,0.02532238798639128,0.04765456227700748,0.0313708901967198,0.2523,0.20692392321817216,0,0,0
Decision Tree,DT,ECFP4,Random shuffle,0.36746387058018176,0.023125346756719626,0.443876293109937,0.060491432973196216,0.44270000000000004,0.061083303774435785,0.05960000000000001,0.03074882111561352,0.3078638705801817,0.05343182755421654,0.3831,0.08444826818828202,0,0,1
Decision Tree,DT,MACCS,OOD holdout,0.1794338220699275,0.0498814666763054,0.22491422852298293,0.17119404370603217,0.3445666666666667,0.08885124272250405,0.07776666666666666,0.06264473907147618,0.10166715540326084,0.11131739131773612,0.2668,0.15148874545655197,0,1,0
Decision Tree,DT,MACCS,Random shuffle,0.3892591645466697,0.04902266174966796,0.5141053959520318,0.06757646348892847,0.5079333333333333,0.06549086450287044,0.05363333333333334,0.014835879931211814,0.3356258312133364,0.054006622930418594,0.4543,0.08013657092738621,0,1,1
Logistic Regression,LR,ECFP4,OOD holdout,0.12846400696859225,0.03275308381210923,0.3704940419137279,0.286197414877509,0.45343333333333335,0.06611658894206004,0.057666666666666665,0.02408844813044903,0.07079734030192558,0.05577917135743718,0.39576666666666666,0.08931172002225314,1,0,0
Logistic Regression,LR,ECFP4,Random shuffle,0.47527809304271074,0.044702058232792136,0.6042292129955167,0.059397927448356216,0.5997333333333333,0.059404741673820344,0.07136666666666668,0.03754681522224399,0.4039114263760441,0.08223625833136672,0.5283666666666667,0.09439969985827985,1,0,1
Logistic Regression,LR,MACCS,OOD holdout,0.17530824783159482,0.06368727433722553,0.16188024694109243,0.13681307805154613,0.22813333333333333,0.071268108809855,0.11286666666666667,0.07750356981025669,0.06244158116492815,0.13757452513031954,0.11526666666666667,0.12229784680579349,1,1,0
Logistic Regression,LR,MACCS,Random shuffle,0.34235882121544764,0.04253551511232302,0.35814542972881647,0.035657251241814236,0.36483333333333334,0.03579920855735968,0.10013333333333334,0.05942224611484603,0.24222548788211432,0.10081362976664816,0.2647,0.08917690283924425,1,1,1
Logistic Regression,LR,RDKit desc,OOD holdout,0.17206213677547053,0.04764507564677577,0.303524886634297,0.2218635686842944,0.42383333333333334,0.08415606533894826,0.08850000000000001,0.047301268481933965,0.08356213677547049,0.022093280466462663,0.3353333333333333,0.11518686267684058,1,2,0
Logistic Regression,LR,RDKit desc,Random shuffle,0.3778560870409815,0.06613165502334566,0.4171058268867549,0.07576115661235804,0.4176,0.06929509362141018,0.08873333333333333,0.0453018027603023,0.2891227537076482,0.08477022751807313,0.32886666666666664,0.10910363574754663,1,2,1
Linear SVM,SVM,ECFP4,OOD holdout,0.09821349546275825,0.017833700330294345,0.7516061821771712,0.11786024208595663,0.6038,0.053580873453126884,0.053233333333333334,0.01982178935750588,0.044980162129424905,0.02945224299693888,0.5505666666666668,0.033771338933085454,2,0,0
Linear SVM,SVM,ECFP4,Random shuffle,0.4333219527408719,0.06450016347370392,0.5923166436254563,0.0977066779634546,0.5731666666666667,0.10400847721860629,0.07283333333333333,0.0491041070923129,0.36048861940753857,0.1093939558647353,0.5003333333333333,0.1531125838503594,2,0,1
Linear SVM,SVM,MACCS,OOD holdout,0.1629549439230761,0.05802153168989671,0.15216861460324585,0.11527647783066966,0.24596666666666667,0.0391634183050118,0.10343333333333334,0.05317276871983754,0.05952161058974276,0.09307454766518815,0.14253333333333332,0.08705000478652102,2,1,0
Linear SVM,SVM,MACCS,Random shuffle,0.2815595874264012,0.059798376393408105,0.27200708058511774,0.025851035301275367,0.2612333333333334,0.030308469663335585,0.10610000000000001,0.0683079058381971,0.1754595874264012,0.12733558801552164,0.15513333333333332,0.09831624145243416,2,1,1
