model,fingerprint,protocol,fold,C,l1_ratio,class_weight,n_nonzero_coefficients,sparsity,l1_norm,l2_norm,inner_pr_auc,test_pr_auc,inner_test_gap,train_test_gap
Logistic Regression,ECFP4,OOD holdout,1,0.1,1.0,,105.0,0.8974609375,22.392328583239337,3.3012509791870976,0.10248845807013461,0.0676,0.03488845807013462,0.3376
Logistic Regression,ECFP4,OOD holdout,2,0.1,0.0,balanced,1024.0,0.0,397.5486400250085,15.379071559405823,0.11764594928006691,0.0752,0.04244594928006691,0.3511
Logistic Regression,ECFP4,OOD holdout,3,0.1,1.0,balanced,974.0,0.048828125,167.78038331295852,8.996313530396803,0.16525761355557522,0.0302,0.13505761355557522,0.49860000000000004
Logistic Regression,ECFP4,Random shuffle,1,0.1,0.0,,1024.0,0.0,150.26284755578632,6.016560270497277,0.4507673460077076,0.0906,0.3601673460077076,0.51
Logistic Regression,ECFP4,Random shuffle,2,0.1,0.0,,1024.0,0.0,136.4234949065157,5.45100133522738,0.4481927564739988,0.0954,0.3527927564739988,0.44450000000000006
Logistic Regression,ECFP4,Random shuffle,3,0.1,0.0,,1024.0,0.0,158.15541872594156,6.300322325088762,0.5268741766464259,0.0281,0.49877417664642587,0.6305999999999999
Logistic Regression,MACCS,OOD holdout,1,10.0,1.0,balanced,164.0,0.017964071856287456,187.59770553668199,23.8358257165906,0.12172407710528933,0.1984,-0.07667592289471066,-0.02049999999999999
Logistic Regression,MACCS,OOD holdout,2,0.1,1.0,,52.0,0.688622754491018,9.4565055197674,1.8785837141038193,0.15848128462436223,0.0929,0.06558128462436223,0.2168
Logistic Regression,MACCS,OOD holdout,3,0.1,1.0,balanced,157.0,0.05988023952095811,57.068311214434296,6.778975818730595,0.2457193817651329,0.0473,0.19841938176513288,0.1495
Logistic Regression,MACCS,Random shuffle,1,5.0,0.5,,162.0,0.029940119760479056,74.75032642216996,8.145832810694436,0.3048429158812247,0.1634,0.1414429158812247,0.18409999999999999
Logistic Regression,MACCS,Random shuffle,2,0.1,0.0,,163.0,0.0239520958083832,27.7628625515069,2.832371417473467,0.33366340102810144,0.0915,0.24216340102810144,0.24950000000000003
Logistic Regression,MACCS,Random shuffle,3,1.0,0.0,,163.0,0.0239520958083832,58.113847684064595,5.9851834516298155,0.38857014673701684,0.0455,0.34307014673701686,0.36050000000000004
Logistic Regression,RDKit desc,OOD holdout,1,0.01,0.0,,213.0,0.018433179723502335,12.165715260998908,1.0814882928186291,0.14752408432396724,0.0889,0.058624084323967235,0.2502
Logistic Regression,RDKit desc,OOD holdout,2,0.1,0.0,,215.0,0.009216589861751112,22.2471380225338,2.038211224294404,0.22697464104655096,0.1356,0.09137464104655096,0.2894
Logistic Regression,RDKit desc,OOD holdout,3,10.0,0.0,,215.0,0.009216589861751112,57.084185005074964,5.372757141939548,0.14168768495589332,0.041,0.10068768495589331,0.4664
Logistic Regression,RDKit desc,Random shuffle,1,0.1,0.5,,133.0,0.3870967741935484,14.515771315598466,1.6813931787918328,0.3018292287862727,0.1002,0.2016292287862727,0.25689999999999996
Logistic Regression,RDKit desc,Random shuffle,2,0.1,1.0,,98.0,0.5483870967741935,7.895699516887833,1.1493550956437453,0.42206091456172107,0.1272,0.29486091456172103,0.2753
Logistic Regression,RDKit desc,Random shuffle,3,0.1,0.0,,215.0,0.009216589861751112,29.622119857625982,2.6142674748592847,0.40967811777495083,0.0388,0.37087811777495083,0.4544
