model,fingerprint,protocol,Inner PR-AUC,Inner train PR-AUC,Train PR-AUC,Final OOD test PR-AUC,Inner-test gap,Train-test gap
Decision Tree,ECFP4,OOD holdout,0.0943 ± 0.0159,0.2253 ± 0.2794,0.2990 ± 0.1959,0.0467 ± 0.0253,0.0477 ± 0.0314,0.2523 ± 0.2069
Decision Tree,ECFP4,Random shuffle,0.3675 ± 0.0231,0.4439 ± 0.0605,0.4427 ± 0.0611,0.0596 ± 0.0307,0.3079 ± 0.0534,0.3831 ± 0.0844
Decision Tree,MACCS,OOD holdout,0.1794 ± 0.0499,0.2249 ± 0.1712,0.3446 ± 0.0889,0.0778 ± 0.0626,0.1017 ± 0.1113,0.2668 ± 0.1515
Decision Tree,MACCS,Random shuffle,0.3893 ± 0.0490,0.5141 ± 0.0676,0.5079 ± 0.0655,0.0536 ± 0.0148,0.3356 ± 0.0540,0.4543 ± 0.0801
Logistic Regression,ECFP4,OOD holdout,0.1285 ± 0.0328,0.3705 ± 0.2862,0.4534 ± 0.0661,0.0577 ± 0.0241,0.0708 ± 0.0558,0.3958 ± 0.0893
Logistic Regression,ECFP4,Random shuffle,0.4753 ± 0.0447,0.6042 ± 0.0594,0.5997 ± 0.0594,0.0714 ± 0.0375,0.4039 ± 0.0822,0.5284 ± 0.0944
Logistic Regression,MACCS,OOD holdout,0.1753 ± 0.0637,0.1619 ± 0.1368,0.2281 ± 0.0713,0.1129 ± 0.0775,0.0624 ± 0.1376,0.1153 ± 0.1223
Logistic Regression,MACCS,Random shuffle,0.3424 ± 0.0425,0.3581 ± 0.0357,0.3648 ± 0.0358,0.1001 ± 0.0594,0.2422 ± 0.1008,0.2647 ± 0.0892
Logistic Regression,RDKit desc,OOD holdout,0.1721 ± 0.0476,0.3035 ± 0.2219,0.4238 ± 0.0842,0.0885 ± 0.0473,0.0836 ± 0.0221,0.3353 ± 0.1152
Logistic Regression,RDKit desc,Random shuffle,0.3779 ± 0.0661,0.4171 ± 0.0758,0.4176 ± 0.0693,0.0887 ± 0.0453,0.2891 ± 0.0848,0.3289 ± 0.1091
Linear SVM,ECFP4,OOD holdout,0.0982 ± 0.0178,0.7516 ± 0.1179,0.6038 ± 0.0536,0.0532 ± 0.0198,0.0450 ± 0.0295,0.5506 ± 0.0338
Linear SVM,ECFP4,Random shuffle,0.4333 ± 0.0645,0.5923 ± 0.0977,0.5732 ± 0.1040,0.0728 ± 0.0491,0.3605 ± 0.1094,0.5003 ± 0.1531
Linear SVM,MACCS,OOD holdout,0.1630 ± 0.0580,0.1522 ± 0.1153,0.2460 ± 0.0392,0.1034 ± 0.0532,0.0595 ± 0.0931,0.1425 ± 0.0871
Linear SVM,MACCS,Random shuffle,0.2816 ± 0.0598,0.2720 ± 0.0259,0.2612 ± 0.0303,0.1061 ± 0.0683,0.1755 ± 0.1273,0.1551 ± 0.0983
