model,fingerprint,fold,top_k,n_overlap,overlap,overlap_percent
Decision Tree,ecfp4,1,10,0,0.0,0.0
Decision Tree,ecfp4,1,20,1,0.05,5.0
Decision Tree,ecfp4,1,50,4,0.08,8.0
Decision Tree,ecfp4,2,10,1,0.1,10.0
Decision Tree,ecfp4,2,20,2,0.1,10.0
Decision Tree,ecfp4,2,50,8,0.16,16.0
Decision Tree,ecfp4,3,10,3,0.3,30.0
Decision Tree,ecfp4,3,20,8,0.4,40.0
Decision Tree,ecfp4,3,50,15,0.3,30.0
Decision Tree,maccs,1,10,0,0.0,0.0
Decision Tree,maccs,1,20,1,0.05,5.0
Decision Tree,maccs,1,50,20,0.4,40.0
Decision Tree,maccs,2,10,6,0.6,60.0
Decision Tree,maccs,2,20,9,0.45,45.0
Decision Tree,maccs,2,50,26,0.52,52.0
Decision Tree,maccs,3,10,4,0.4,40.0
Decision Tree,maccs,3,20,9,0.45,45.0
Decision Tree,maccs,3,50,28,0.56,56.0
Logistic Regression,ecfp4,1,10,8,0.8,80.0
Logistic Regression,ecfp4,1,20,12,0.6,60.0
Logistic Regression,ecfp4,1,50,24,0.48,48.0
Logistic Regression,ecfp4,2,10,5,0.5,50.0
Logistic Regression,ecfp4,2,20,7,0.35,35.0
Logistic Regression,ecfp4,2,50,25,0.5,50.0
Logistic Regression,ecfp4,3,10,5,0.5,50.0
Logistic Regression,ecfp4,3,20,9,0.45,45.0
Logistic Regression,ecfp4,3,50,35,0.7,70.0
Logistic Regression,maccs,1,10,4,0.4,40.0
Logistic Regression,maccs,1,20,14,0.7,70.0
Logistic Regression,maccs,1,50,36,0.72,72.0
Logistic Regression,maccs,2,10,7,0.7,70.0
Logistic Regression,maccs,2,20,13,0.65,65.0
Logistic Regression,maccs,2,50,34,0.68,68.0
Logistic Regression,maccs,3,10,7,0.7,70.0
Logistic Regression,maccs,3,20,12,0.6,60.0
Logistic Regression,maccs,3,50,30,0.6,60.0
Logistic Regression,rdkit_desc,1,10,7,0.7,70.0
Logistic Regression,rdkit_desc,1,20,13,0.65,65.0
Logistic Regression,rdkit_desc,1,50,44,0.88,88.0
Logistic Regression,rdkit_desc,2,10,6,0.6,60.0
Logistic Regression,rdkit_desc,2,20,12,0.6,60.0
Logistic Regression,rdkit_desc,2,50,30,0.6,60.0
Logistic Regression,rdkit_desc,3,10,5,0.5,50.0
Logistic Regression,rdkit_desc,3,20,8,0.4,40.0
Logistic Regression,rdkit_desc,3,50,31,0.62,62.0
SVM linear,ecfp4,1,10,6,0.6,60.0
SVM linear,ecfp4,1,20,10,0.5,50.0
SVM linear,ecfp4,1,50,18,0.36,36.0
SVM linear,ecfp4,2,10,2,0.2,20.0
SVM linear,ecfp4,2,20,10,0.5,50.0
SVM linear,ecfp4,2,50,26,0.52,52.0
SVM linear,ecfp4,3,10,1,0.1,10.0
SVM linear,ecfp4,3,20,5,0.25,25.0
SVM linear,ecfp4,3,50,21,0.42,42.0
SVM linear,maccs,1,10,2,0.2,20.0
SVM linear,maccs,1,20,10,0.5,50.0
SVM linear,maccs,1,50,24,0.48,48.0
SVM linear,maccs,2,10,10,1.0,100.0
SVM linear,maccs,2,20,17,0.85,85.0
SVM linear,maccs,2,50,40,0.8,80.0
SVM linear,maccs,3,10,1,0.1,10.0
SVM linear,maccs,3,20,4,0.2,20.0
SVM linear,maccs,3,50,17,0.34,34.0
