model,fingerprint,protocol,fold,C,class_weight,l2_norm,approx_margin,n_nonzero_coefficients,inner_pr_auc,test_pr_auc,inner_test_gap,train_test_gap
SVM linear,ECFP4,OOD holdout,1,0.1,,3.6123292231517223,0.27682969580704764,1024.0,0.07785530119312378,0.0616,0.01625530119312378,0.5632
SVM linear,ECFP4,OOD holdout,2,0.5,,7.155548703753665,0.1397516866142521,1024.0,0.11107565279641697,0.0675,0.04357565279641697,0.5762
SVM linear,ECFP4,OOD holdout,3,0.01,balanced,4.48276140410118,0.22307678456522848,1024.0,0.10570953239873399,0.0306,0.07510953239873398,0.5123000000000001
SVM linear,ECFP4,Random shuffle,1,0.01,balanced,5.114752760744157,0.19551287164357634,1024.0,0.3970473001992274,0.1223,0.2747473001992274,0.34609999999999996
SVM linear,ECFP4,Random shuffle,2,0.1,,2.9187295635272092,0.342614818617017,1024.0,0.3951264886017406,0.0721,0.3230264886017406,0.5025999999999999
SVM linear,ECFP4,Random shuffle,3,0.1,,4.144292348228225,0.24129571853865997,1024.0,0.5077920694216477,0.0241,0.48369206942164766,0.6523
SVM linear,MACCS,OOD holdout,1,0.1,balanced,5.167921735271822,0.19350138241739492,164.0,0.09991338377498926,0.1456,-0.045686616225010745,0.055499999999999994
SVM linear,MACCS,OOD holdout,2,0.1,,0.007763978383100738,128.79994645227555,163.0,0.2141180102747668,0.121,0.0931180102747668,0.14250000000000002
SVM linear,MACCS,OOD holdout,3,0.01,balanced,2.681084966282606,0.3729833304710689,163.0,0.17483343771947224,0.0437,0.13113343771947222,0.22959999999999997
SVM linear,MACCS,Random shuffle,1,0.01,,0.004461450791051884,224.14233549446553,164.0,0.21599033026318276,0.1738,0.04219033026318275,0.05479999999999999
SVM linear,MACCS,Random shuffle,2,5.0,,0.006696821139529407,149.32457940339603,163.0,0.2955998780472955,0.1073,0.18829987804729548,0.1593
SVM linear,MACCS,Random shuffle,3,0.5,,0.0066109818441289605,151.2634618544708,163.0,0.3330885539687254,0.0372,0.2958885539687254,0.25129999999999997
