model,fingerprint,protocol,fold,ccp_alpha,max_depth,effective_depth,n_nodes,n_leaves,n_features_used,used_feature_fraction,feature_min_depth_mean,feature_min_depth_std,inner_pr_auc,test_pr_auc,inner_test_gap,train_test_gap
Decision Tree,ECFP4,OOD holdout,1,0.0,3.0,3.0,15.0,8.0,7.0,0.0068359375,1.4285714285714286,0.7284313590846835,0.11253571593178438,0.0395,0.07303571593178437,0.07780000000000001
Decision Tree,ECFP4,OOD holdout,2,0.0,15.0,15.0,351.0,176.0,145.0,0.1416015625,8.806896551724138,3.574423612516044,0.08738139107141737,0.0748,0.01258139107141737,0.19820000000000002
Decision Tree,ECFP4,OOD holdout,3,0.0001,15.0,15.0,419.0,210.0,174.0,0.169921875,8.413793103448276,3.410773074933023,0.08304657982782068,0.0257,0.05734657982782068,0.48090000000000005
Decision Tree,ECFP4,Random shuffle,1,0.0,15.0,15.0,475.0,238.0,181.0,0.1767578125,8.30939226519337,3.235399872943177,0.3496217414734056,0.0893,0.2603217414734056,0.3441
Decision Tree,ECFP4,Random shuffle,2,0.0,15.0,15.0,355.0,178.0,143.0,0.1396484375,8.174825174825175,3.362305829919652,0.35917954399237884,0.0616,0.29757954399237885,0.3252
Decision Tree,ECFP4,Random shuffle,3,0.0,15.0,15.0,611.0,306.0,230.0,0.224609375,8.673913043478262,3.1571475005556286,0.3935903262747607,0.0279,0.3656903262747607,0.48000000000000004
Decision Tree,MACCS,OOD holdout,1,0.0001,8.0,8.0,173.0,87.0,70.0,0.41916167664670656,4.885714285714286,1.6694127037704622,0.1218357216539894,0.147,-0.025164278346010593,0.0988
Decision Tree,MACCS,OOD holdout,2,0.0,15.0,15.0,537.0,269.0,114.0,0.6826347305389222,7.508771929824562,3.255887013738285,0.20830243617657085,0.0613,0.14700243617657086,0.3086
Decision Tree,MACCS,OOD holdout,3,0.0,10.0,10.0,413.0,207.0,110.0,0.6586826347305389,6.054545454545455,2.0575199706812244,0.20816330837922223,0.025,0.18316330837922223,0.39299999999999996
Decision Tree,MACCS,Random shuffle,1,0.0,15.0,15.0,863.0,432.0,136.0,0.8143712574850299,7.110294117647059,2.772429371395629,0.33282866709106884,0.0584,0.27442866709106883,0.416
Decision Tree,MACCS,Random shuffle,2,0.0,15.0,15.0,783.0,392.0,126.0,0.7544910179640718,7.063492063492063,2.7852959483290607,0.4213371302855167,0.0655,0.3558371302855167,0.4005
Decision Tree,MACCS,Random shuffle,3,0.0001,15.0,15.0,963.0,482.0,129.0,0.7724550898203593,6.635658914728682,2.7221115393198065,0.41361169626342353,0.037,0.37661169626342356,0.5464
