model,model_short,fingerprint,protocol,result_dir,fold,inner_pr_auc,inner_train_pr_auc,train_pr_auc,test_pr_auc,inner_test_gap,train_test_gap,best_params,inner_split_strategy,time_seconds,model_order,fingerprint_order,protocol_order
Decision Tree,DT,ECFP4,OOD holdout,dt_hiv_hi_inner_ood_holdout_ecfp4,1,0.11253571593178438,0.03236650246047632,0.1173,0.0395,0.07303571593178437,0.07780000000000001,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10}",holdout,9.1,0,0,0
Decision Tree,DT,ECFP4,OOD holdout,dt_hiv_hi_inner_ood_holdout_ecfp4,2,0.08738139107141737,0.09774640599544701,0.273,0.0748,0.01258139107141737,0.19820000000000002,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 20}",holdout,6.4,0,0,0
Decision Tree,DT,ECFP4,OOD holdout,dt_hiv_hi_inner_ood_holdout_ecfp4,3,0.08304657982782068,0.5457210896342941,0.5066,0.0257,0.05734657982782068,0.48090000000000005,"{'ccp_alpha': 0.0001, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10}",holdout,6.3,0,0,0
Decision Tree,DT,ECFP4,Random shuffle,dt_hiv_hi_random_shuffle_ecfp4,1,0.3496217414734056,0.4076906910861454,0.4334,0.0893,0.2603217414734056,0.3441,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20}",random_shuffle,12.1,0,0,1
Decision Tree,DT,ECFP4,Random shuffle,dt_hiv_hi_random_shuffle_ecfp4,2,0.35917954399237884,0.4102277652078736,0.3868,0.0616,0.29757954399237885,0.3252,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20}",random_shuffle,9.7,0,0,1
Decision Tree,DT,ECFP4,Random shuffle,dt_hiv_hi_random_shuffle_ecfp4,3,0.3935903262747607,0.5137104230357921,0.5079,0.0279,0.3656903262747607,0.48000000000000004,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10}",random_shuffle,9.7,0,0,1
Decision Tree,DT,MACCS,OOD holdout,dt_hiv_hi_inner_ood_holdout_maccs,1,0.1218357216539894,0.09329002499345442,0.2458,0.147,-0.025164278346010593,0.0988,"{'ccp_alpha': 0.0001, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 50}",holdout,2.0,0,1,0
Decision Tree,DT,MACCS,OOD holdout,dt_hiv_hi_inner_ood_holdout_maccs,2,0.20830243617657085,0.1630012255340779,0.3699,0.0613,0.14700243617657086,0.3086,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 10}",holdout,1.9,0,1,0
Decision Tree,DT,MACCS,OOD holdout,dt_hiv_hi_inner_ood_holdout_maccs,3,0.20816330837922223,0.41845143504141646,0.418,0.025,0.18316330837922223,0.39299999999999996,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 50}",holdout,1.9,0,1,0
Decision Tree,DT,MACCS,Random shuffle,dt_hiv_hi_random_shuffle_maccs,1,0.33282866709106884,0.4991079574825251,0.4744,0.0584,0.27442866709106883,0.416,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20}",random_shuffle,2.1,0,1,1
