protocol,fingerprint,fold,C,class_weight,inner_pr_auc,test_pr_auc
OOD holdout,ECFP4,1,0.1,,0.0779,0.0616
OOD holdout,ECFP4,2,0.5,,0.1111,0.0675
OOD holdout,ECFP4,3,0.01,balanced,0.1057,0.0306
Random shuffle,ECFP4,1,0.01,balanced,0.397,0.1223
Random shuffle,ECFP4,2,0.1,,0.3951,0.0721
Random shuffle,ECFP4,3,0.1,,0.5078,0.0241
OOD holdout,MACCS,1,0.1,balanced,0.0999,0.1456
OOD holdout,MACCS,2,0.1,,0.2141,0.121
OOD holdout,MACCS,3,0.01,balanced,0.1748,0.0437
Random shuffle,MACCS,1,0.01,,0.216,0.1738
Random shuffle,MACCS,2,5.0,,0.2956,0.1073
Random shuffle,MACCS,3,0.5,,0.3331,0.0372
