model,fingerprint,protocol,fold,C,class_weight,l2_norm,approx_margin,n_nonzero_coefficients,inner_pr_auc,test_pr_auc,inner_test_gap,train_test_gap
SVM linear,ECFP4,OOD holdout,1,0.01,balanced,2.054726909329438,0.4866826805350746,1024.0,0.4645090190036799,0.5082,-0.04369098099632007,0.2691
SVM linear,ECFP4,OOD holdout,2,0.005,balanced,1.4110170838831826,0.7087086410378214,1024.0,0.45287699109268786,0.5282,-0.07532300890731214,0.1896
SVM linear,ECFP4,OOD holdout,3,0.01,balanced,2.0250252982256116,0.493820991212421,1023.0,0.520898104517096,0.4539,0.06699810451709592,0.32559999999999995
SVM linear,ECFP4,Random shuffle,1,0.1,,5.042985903120449,0.19829522017525963,1023.0,0.5601480193486588,0.3956,0.16454801934865876,0.5453999999999999
SVM linear,ECFP4,Random shuffle,2,0.01,balanced,2.0512340828958773,0.4875114002533669,1023.0,0.6559103565376132,0.5394,0.11651035653761321,0.23430000000000006
SVM linear,ECFP4,Random shuffle,3,0.01,balanced,2.024969470757322,0.4938346056279101,1023.0,0.5496675022761512,0.4538,0.09586750227615126,0.3256
SVM linear,MACCS,OOD holdout,1,0.01,,0.3135008650602784,3.189783861705533,143.0,0.4870328363826815,0.4933,-0.006267163617318494,0.13599999999999995
SVM linear,MACCS,OOD holdout,2,0.5,balanced,5.479380411283736,0.1825023862078806,147.0,0.49565225669976704,0.4753,0.020352256699767035,0.1264
SVM linear,MACCS,OOD holdout,3,0.05,,1.7980841746855578,0.5561474896885048,144.0,0.461429751594654,0.4581,0.0033297515946539846,0.19890000000000002
SVM linear,MACCS,Random shuffle,1,0.005,balanced,0.9580799163820589,1.0437542661119976,147.0,0.4990094885528602,0.4409,0.05810948855286019,0.07100000000000001
SVM linear,MACCS,Random shuffle,2,0.01,balanced,1.3280408914911905,0.7529888623212122,147.0,0.546428221848086,0.4646,0.08182822184808602,0.052100000000000035
SVM linear,MACCS,Random shuffle,3,0.25,,3.681579803917757,0.27162252436735146,143.0,0.5760271079582211,0.4484,0.12762710795822108,0.24349999999999994
