model,model_short,fingerprint,protocol,fold,train_pr_auc,inner_pr_auc,inner_train_pr_auc,test_pr_auc,train_inner_gap,inner_test_gap,train_test_gap
Decision Tree,DT,ECFP4,OOD holdout,1,0.5752,0.39068944543983397,0.5892579140204436,0.3182,0.18451055456016607,0.07248944543983399,0.25700000000000006
Decision Tree,DT,ECFP4,OOD holdout,2,0.706,0.3781596729718331,0.6573787872227377,0.2997,0.32784032702816684,0.0784596729718331,0.40629999999999994
Decision Tree,DT,ECFP4,OOD holdout,3,0.7555,0.3723241266790944,0.798691849900905,0.2934,0.3831758733209055,0.07892412667909443,0.46209999999999996
Decision Tree,DT,ECFP4,Random shuffle,1,0.8287,0.5339989750964889,0.7958230482139512,0.3107,0.29470102490351113,0.22329897509648888,0.518
Decision Tree,DT,ECFP4,Random shuffle,2,0.8015,0.48903628025233614,0.7020361683471525,0.3009,0.31246371974766385,0.18813628025233614,0.5005999999999999
Decision Tree,DT,ECFP4,Random shuffle,3,0.8464,0.42186060768379174,0.8736366023445358,0.2806,0.4245393923162083,0.14126060768379173,0.5658000000000001
Decision Tree,DT,MACCS,OOD holdout,1,0.5089,0.39686849760871695,0.6290685971192812,0.3378,0.11203150239128307,0.05906849760871696,0.17110000000000003
Decision Tree,DT,MACCS,OOD holdout,2,0.4459,0.38112214236792286,0.49385979485246473,0.3459,0.06477785763207716,0.03522214236792287,0.10000000000000003
Decision Tree,DT,MACCS,OOD holdout,3,0.5326,0.3904947464124505,0.6070514160142464,0.3142,0.14210525358754944,0.07629474641245054,0.21839999999999998
Decision Tree,DT,MACCS,Random shuffle,1,0.5965,0.46667700144107416,0.5617005974414078,0.4016,0.12982299855892587,0.06507700144107414,0.19490000000000002
Decision Tree,DT,MACCS,Random shuffle,2,0.6345,0.4985928502493422,0.5971668151963371,0.3567,0.13590714975065776,0.14189285024934217,0.27779999999999994
Decision Tree,DT,MACCS,Random shuffle,3,0.5773,0.4646068383900053,0.564270876345247,0.3076,0.11269316160999476,0.1570068383900053,0.26970000000000005
Logistic Regression,LR,ECFP4,OOD holdout,1,0.8502,0.47566351149837854,0.9037574750354981,0.5053,0.3745364885016214,-0.029636488501621427,0.3449
Logistic Regression,LR,ECFP4,OOD holdout,2,0.6969,0.4902507552464061,0.6780360660591754,0.5072,0.20664924475359386,-0.016949244753593884,0.18969999999999998
Logistic Regression,LR,ECFP4,OOD holdout,3,0.944,0.5414335267989707,0.9577805448427553,0.4208,0.40256647320102923,0.12063352679897071,0.5231999999999999
Logistic Regression,LR,ECFP4,Random shuffle,1,0.9044,0.5654612579059428,0.9315068059279593,0.4876,0.33893874209405717,0.07786125790594284,0.4168
Logistic Regression,LR,ECFP4,Random shuffle,2,0.8528,0.6371035293030463,0.8700208540356864,0.5271,0.21569647069695375,0.11000352930304624,0.3257
Logistic Regression,LR,ECFP4,Random shuffle,3,0.8782,0.5487009331227756,0.8844911549377483,0.4314,0.3294990668772244,0.11730093312277556,0.4468
Logistic Regression,LR,MACCS,OOD holdout,1,0.5944,0.49853235902097137,0.586287477264805,0.4671,0.09586764097902867,0.03143235902097136,0.12730000000000002
Logistic Regression,LR,MACCS,OOD holdout,2,0.7025,0.4913384635466529,0.7483442357466881,0.5009,0.21116153645334712,-0.00956153645334712,0.2016
Logistic Regression,LR,MACCS,OOD holdout,3,0.6885,0.4706713568371286,0.7546281007159111,0.4623,0.21782864316287143,0.008371356837128585,0.2262
Logistic Regression,LR,MACCS,Random shuffle,1,0.52,0.48941708367387976,0.5331262290651928,0.4312,0.030582916326120257,0.05821708367387973,0.08879999999999999
Logistic Regression,LR,MACCS,Random shuffle,2,0.5388,0.5552538648468112,0.5265646114966623,0.4969,-0.016453864846811217,0.058353864846811154,0.04189999999999994
Logistic Regression,LR,MACCS,Random shuffle,3,0.6717,0.5786669822949537,0.677091798321785,0.4554,0.09303301770504624,0.1232669822949537,0.21629999999999994
Logistic Regression,LR,RDKit desc,OOD holdout,1,0.745,0.6019502621745945,0.7985921868171006,0.6076,0.14304973782540553,-0.005649737825405565,0.13739999999999997
Logistic Regression,LR,RDKit desc,OOD holdout,2,0.7056,0.5823962447996424,0.7473025900654889,0.6202,0.12320375520035765,-0.037803755200357614,0.08540000000000003
Logistic Regression,LR,RDKit desc,OOD holdout,3,0.7565,0.5622618173236118,0.8212093194890694,0.5445,0.19423818267638815,0.017761817323611817,0.21199999999999997
Logistic Regression,LR,RDKit desc,Random shuffle,1,0.7816,0.6256787418808591,0.8001123722485857,0.6119,0.15592125811914082,0.013778741880859147,0.16969999999999996
