model,fingerprint,protocol,fold,C,l1_ratio,class_weight,n_nonzero_coefficients,sparsity,l1_norm,l2_norm,inner_pr_auc,test_pr_auc,inner_test_gap,train_test_gap
Logistic Regression,ECFP4,OOD holdout,1,0.05,0.0,,1024.0,0.0,68.58639918985125,2.896539971906446,0.47566351149837854,0.5053,-0.029636488501621427,0.3449
Logistic Regression,ECFP4,OOD holdout,2,0.1,0.5,balanced,131.0,0.8720703125,24.194310727211672,2.7322616548038714,0.4902507552464061,0.5072,-0.016949244753593884,0.18969999999999998
Logistic Regression,ECFP4,OOD holdout,3,0.5,0.5,,426.0,0.583984375,120.67076650261501,7.512598373679871,0.5414335267989707,0.4208,0.12063352679897071,0.5231999999999999
Logistic Regression,ECFP4,Random shuffle,1,0.1,0.0,balanced,1024.0,0.0,124.16667462037182,5.009276632267192,0.5654612579059428,0.4876,0.07786125790594284,0.4168
Logistic Regression,ECFP4,Random shuffle,2,0.05,0.0,,1024.0,0.0,69.25009770243501,2.9067600939340243,0.6371035293030463,0.5271,0.11000352930304624,0.3257
Logistic Regression,ECFP4,Random shuffle,3,0.5,1.0,,224.0,0.78125,74.6541535599464,6.536328787215273,0.5487009331227756,0.4314,0.11730093312277556,0.4468
Logistic Regression,MACCS,OOD holdout,1,0.1,0.25,,77.0,0.5389221556886228,11.844632793692162,1.8909866881829165,0.49853235902097137,0.4671,0.03143235902097136,0.12730000000000002
Logistic Regression,MACCS,OOD holdout,2,10.0,0.5,,141.0,0.15568862275449102,104.99695755154028,12.010971572226621,0.4913384635466529,0.5009,-0.00956153645334712,0.2016
Logistic Regression,MACCS,OOD holdout,3,0.5,0.0,,146.0,0.12574850299401197,45.91009735709101,5.005261198590858,0.4706713568371286,0.4623,0.008371356837128585,0.2262
Logistic Regression,MACCS,Random shuffle,1,0.005,0.0,balanced,147.0,0.11976047904191611,5.802065441443736,0.6920181428005469,0.48941708367387976,0.4312,0.05821708367387973,0.08879999999999999
Logistic Regression,MACCS,Random shuffle,2,0.1,0.75,balanced,45.0,0.7305389221556886,10.546013314345199,2.1314707432641686,0.5552538648468112,0.4969,0.058353864846811154,0.04189999999999994
Logistic Regression,MACCS,Random shuffle,3,1.0,0.0,balanced,146.0,0.12574850299401197,63.79520610238734,6.961892011722056,0.5786669822949537,0.4554,0.1232669822949537,0.21629999999999994
Logistic Regression,RDKit desc,OOD holdout,1,0.1,0.25,,120.0,0.4470046082949308,13.8759401720523,1.6249659258789257,0.6019502621745945,0.6076,-0.005649737825405565,0.13739999999999997
Logistic Regression,RDKit desc,OOD holdout,2,0.05,0.25,balanced,111.0,0.48847926267281105,11.644644422653691,1.4178271409317564,0.5823962447996424,0.6202,-0.037803755200357614,0.08540000000000003
Logistic Regression,RDKit desc,OOD holdout,3,0.5,0.0,balanced,197.0,0.09216589861751157,47.06974159539823,4.4032652853686605,0.5622618173236118,0.5445,0.017761817323611817,0.21199999999999997
Logistic Regression,RDKit desc,Random shuffle,1,0.5,0.5,,143.0,0.3410138248847926,27.730545803989784,3.125927172323251,0.6256787418808591,0.6119,0.013778741880859147,0.16969999999999996
Logistic Regression,RDKit desc,Random shuffle,2,0.5,0.0,,200.0,0.07834101382488479,40.51136184134701,3.792659416095556,0.686947358977245,0.5923,0.09464735897724497,0.19779999999999998
Logistic Regression,RDKit desc,Random shuffle,3,0.005,0.0,balanced,197.0,0.09216589861751157,8.432177694835921,0.7524902057154236,0.6172666197743841,0.5584,0.05886661977438412,0.12309999999999999
