index,model,model_short,fingerprint,protocol,inner_pr_auc_mean,inner_pr_auc_std,test_pr_auc_mean,test_pr_auc_std,inner_test_gap_mean,inner_test_gap_std,train_test_gap_mean,train_test_gap_std,l2_norm_mean,l2_norm_std,n_nonzero_coefficients_mean,n_nonzero_coefficients_std,approx_margin_mean,approx_margin_std,effective_depth_mean,effective_depth_std,n_nodes_mean,n_nodes_std,n_leaves_mean,n_leaves_std,n_features_used_mean,n_features_used_std,feature_min_depth_mean_mean,feature_min_depth_mean_std
0,Decision Tree,DT,ECFP4,OOD holdout,0.3803910816969205,0.00938379571227388,0.3037666666666667,0.012890435730933738,0.07662441503025384,0.00358851075612431,0.3751333333333333,0.10604255435122883,,,,,,,16.666666666666668,2.886751345948129,163.66666666666666,36.018513757973594,82.33333333333333,18.009256878986797,68.66666666666667,18.58314648635514,7.423015873015873,2.2668246410202997
1,Decision Tree,DT,ECFP4,Random shuffle,0.4816319543442056,0.05643466481792567,0.2974,0.015352198539622885,0.18423195434420558,0.04115830721170208,0.5281333333333333,0.0337605292217604,,,,,,,15.0,0.0,247.0,102.13716267842963,124.0,51.068581339214816,104.33333333333333,39.50105483823607,7.836977245702077,0.6011880408361266
2,Decision Tree,DT,MACCS,OOD holdout,0.38949512879636344,0.00792062828165259,0.33263333333333334,0.016469466698510116,0.05686179546303013,0.020625029733783943,0.16316666666666668,0.05959734334123737,,,,,,,6.666666666666667,2.8867513459481287,98.33333333333333,89.4725283723073,49.666666666666664,44.73626418615365,36.666666666666664,26.6520793435209,3.7723148961076967,1.5459423256140112
3,Decision Tree,DT,MACCS,Random shuffle,0.47662556336014056,0.019052366354835582,0.3553,0.047015635697074225,0.12132556336014054,0.04929537197193374,0.24746666666666664,0.04570386562790211,,,,,,,12.666666666666666,2.3094010767585034,197.0,48.12483766206386,99.0,24.06241883103193,65.33333333333333,9.504384952922166,5.8558547008547,0.6343785667088916
4,Logistic Regression,LR,ECFP4,OOD holdout,0.5024492645145852,0.03454021495929662,0.4777666666666667,0.04934372638272603,0.02468259784791847,0.0833377292311704,0.35259999999999997,0.16688328256598978,4.380466666796729,2.7137489960043353,527.0,454.9868129957175,0.2814487972044413,0.12888396925642281,,,,,,,,,,
5,Logistic Regression,LR,ECFP4,Random shuffle,0.5837552401105882,0.046954840980786144,0.4820333333333333,0.048092237765915334,0.10172190677725489,0.02098358761144251,0.39643333333333336,0.06306665785764562,4.817455171138829,1.8223717594179025,757.3333333333334,461.8802153517006,0.23221544708562034,0.09959883399680236,,,,,,,,,,
6,Logistic Regression,LR,MACCS,OOD holdout,0.4868473931349176,0.014463268847476911,0.4767666666666667,0.021037426965609028,0.010080726468250941,0.0205503363705242,0.18503333333333336,0.05148925454241236,6.302406486333465,5.183190420624435,121.33333333333333,38.47510017314229,0.2706238123964997,0.2310749605427453,,,,,,,,,,
7,Logistic Regression,LR,MACCS,Random shuffle,0.5411126436052149,0.04627490361546773,0.4611666666666667,0.033227448492674436,0.0799459769385482,0.037517153491297854,0.11566666666666663,0.09025078023670119,3.2617936325955905,3.284212532503963,112.66666666666667,58.6031853514238,0.6859491837091739,0.6772481760172276,,,,,,,,,,
8,Logistic Regression,LR,RDKit desc,OOD holdout,0.5822027747659496,0.01984492974698646,0.5907666666666667,0.040560366533518084,-0.008563891900717121,0.027897176075010133,0.14493333333333333,0.06363531514287746,2.4820194507264475,1.6670680210791904,142.66666666666666,47.26873526268007,0.5159354357328751,0.2541425517870551,,,,,,,,,,
9,Logistic Regression,LR,RDKit desc,Random shuffle,0.6432975735441627,0.03803509926172338,0.5875333333333334,0.027066646141207348,0.05576424021082941,0.040523473160475,0.1635333333333333,0.03772987322180307,2.5570255980447434,1.5979342783256956,180.0,32.07802986469088,0.6374977554349157,0.5994499152773971,,,,,,,,,,
10,SVM linear,SVM,ECFP4,OOD holdout,0.4794280382044879,0.036382012290548264,0.49676666666666663,0.03844688977451014,-0.017338628462178762,0.07473058071936517,0.26143333333333335,0.06832337325786346,1.8302564304794107,0.3633755202629437,1023.6666666666666,0.5773502691896093,0.5630707709284389,0.1261765856937395,,,,,,,,,,
11,SVM linear,SVM,ECFP4,Random shuffle,0.5885752927208078,0.05854885501815326,0.46293333333333325,0.07233376343958146,0.1256419593874744,0.03523908319313151,0.36843333333333333,0.15991192367466944,3.0397298189245494,1.7349203617496727,1023.0,0.0,0.39321374201884557,0.168833996427907,,,,,,,,,,
12,SVM linear,SVM,MACCS,OOD holdout,0.4813716148923675,0.017799776276379627,0.4755666666666667,0.017601515086302477,0.005804948225700842,0.013481221505344972,0.15376666666666666,0.03938024039202065,2.5303218170098574,2.659644120018683,144.66666666666666,2.0816659994661317,1.3094779125339728,1.6390745903424386,,,,,,,,,,
13,SVM linear,SVM,MACCS,Random shuffle,0.5404882727863891,0.038850877349925074,0.45130000000000003,0.012113215923114727,0.08918827278638909,0.03533840141132539,0.12219999999999999,0.10547307713345613,1.9892335372636687,1.4772422602503108,145.66666666666666,2.309401076758499,0.689455217600187,0.38996698534755264,,,,,,,,,,
