model,fingerprint,fold,category,smiles,true_label,pred_ood,pred_random,correct_ood,correct_random,pred_diff_abs
Decision Tree,ecfp4,1,both_correct,Cc1ccnc(NC(=O)C2CCN(CCc3cccs3)CC2)c1,False,0.0,0.4792899408284023,True,True,0.4792899408284023
Decision Tree,ecfp4,1,both_wrong,O=C(CCc1ccc2c(c1)OCO2)Nc1nc2c(s1)CCC2,False,0.5010309278350522,1.0,False,False,0.4989690721649478
Decision Tree,ecfp4,1,ood_correct_random_wrong,CCc1nc(NC(=O)c2ccccc2F)sc1C,False,0.0,1.0,True,False,1.0
Decision Tree,ecfp4,1,ood_wrong_random_correct,Cc1cc(C(=O)Nc2cccc3ncccc23)on1,False,0.9735576923076924,0.0,False,True,0.9735576923076924
Decision Tree,ecfp4,2,both_correct,CCc1cc2c(N3CCN(Cc4nccn4C)CC3)ncnc2s1,False,0.4823928722952906,0.0,True,True,0.4823928722952906
Decision Tree,ecfp4,2,both_wrong,c1ccc(-c2noc(NC3CC3)n2)cc1,False,1.0,0.5,False,False,0.5
Decision Tree,ecfp4,2,ood_correct_random_wrong,Clc1cccc(CNc2nc(C3CC3)no2)c1,False,0.0,1.0,True,False,1.0
Decision Tree,ecfp4,2,ood_wrong_random_correct,C=CC(=O)N1CCC[C@@H](n2nc(-c3cccc(C(=O)Nc4ccc(C(C)C)c(C)c4)c3)c3c(N)ncnc32)C1,True,0.0,1.0,False,True,1.0
Decision Tree,ecfp4,3,both_correct,Cc1cc(F)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)cc1-n1cnc(C2CC2)c1,False,0.4666666666666667,0.0,True,True,0.4666666666666667
Decision Tree,ecfp4,3,both_wrong,CC(C)(C)c1cc(NC(=O)c2cccc3cn[nH]c23)[nH]n1,True,0.4666666666666667,0.0,False,False,0.4666666666666667
Decision Tree,ecfp4,3,ood_correct_random_wrong,Oc1ccc(CN2CCN(c3cccc(Cl)c3)CC2)cc1,True,1.0,0.0,True,False,1.0
Decision Tree,ecfp4,3,ood_wrong_random_correct,Clc1ccc(COc2cccc(N3CCNCC3)c2)cc1,False,1.0,0.0,False,True,1.0
Decision Tree,maccs,1,both_correct,FC(F)(F)c1ccc(Nc2nc3cc(Oc4ccnc(-c5ncc(C(F)(F)F)[nH]5)c4)ccc3[nH]2)cc1,True,0.503448275862069,1.0,True,True,0.496551724137931
Decision Tree,maccs,1,both_wrong,CCCCOc1ccccc1-c1cc(C(=O)NCCc2cccs2)[nH]n1,True,0.4545454545454545,0.0,False,False,0.4545454545454545
Decision Tree,maccs,1,ood_correct_random_wrong,COc1nn(C)cc1C(=O)Nc1cccc(-c2cnc3n2CCC3)c1,False,0.0504201680672268,0.9364161849710982,True,False,0.8859960169038714
Decision Tree,maccs,1,ood_wrong_random_correct,Cc1sc(C)c(C(=O)NC2(c3ccc(C(=O)O)cc3)CC2)c1Cc1ccc(C(F)(F)F)cc1,False,0.8888888888888888,0.0,False,True,0.8888888888888888
Decision Tree,maccs,2,both_correct,N#Cc1ccc2nc([C@H]3CCN(C4CCC4)C3)[nH]c2c1,False,0.0,0.4985202236106545,True,True,0.4985202236106545
Decision Tree,maccs,2,both_wrong,CC(C)(Oc1ccc(-c2cnc(N)c(-c3ccc(Cl)cc3)c2)cc1)C(=O)O,False,0.5,1.0,False,False,0.5
Decision Tree,maccs,2,ood_correct_random_wrong,NC(=O)c1cnc(NC2CC2)nc1CCNC(=O)C1(c2cccc(F)c2)CCOCC1,False,0.0949494949494949,0.9318283415288334,True,False,0.8368788465793385
Decision Tree,maccs,2,ood_wrong_random_correct,CCC(C)(C)c1ccc(Oc2ccc(NC(=O)CSc3cccc[n+]3[O-])cc2)cc1,True,0.0,0.9055351533118006,False,True,0.9055351533118006
Decision Tree,maccs,3,both_correct,CCN(C(=O)CO)[C@H]1CN(/C(=N\C#N)Nc2cccc(OC(F)F)c2)N=C1c1ccc(Cl)c(Cl)c1,True,0.5014512167894619,1.0,True,True,0.4985487832105381
Decision Tree,maccs,3,both_wrong,Cc1cc(-c2ccc(N)nc2)cc(C2CCN(C(=O)CCCc3ccc(F)c(C)c3)CC2)n1,True,0.4898226228554811,0.0,False,False,0.4898226228554811
Decision Tree,maccs,3,ood_correct_random_wrong,Cc1ccc(-c2ccc3c(ccc4sc5c(c43)NC[C@@H](C)NC5=O)n2)cn1,True,0.9078939770168044,0.0,True,False,0.9078939770168044
Decision Tree,maccs,3,ood_wrong_random_correct,CC(=O)N[C@H]1/C(=N\OC(=O)Nc2ccccc2)O[C@H](CO)[C@H](O)[C@@H]1O,False,0.9135032537960954,0.0,False,True,0.9135032537960954
Logistic Regression,ecfp4,1,both_correct,O=C1CCCc2nc(Nc3nc(-c4ccccc4)c4ccccc4n3)ncc21,True,0.5227058111846993,0.852462657968716,True,True,0.32975684678401673
Logistic Regression,ecfp4,1,both_wrong,O=C(CCc1ccc2c(c1)OCO2)Nc1cccc2cnccc12,False,0.5319068187543772,0.8705495528849958,False,False,0.33864273413061863
Logistic Regression,ecfp4,1,ood_correct_random_wrong,Cc1cc(=O)n(C)c2cc(N3C(=O)CC[C@H](NS(=O)(=O)CC(C)C)[C@H]3c3ccc(Cl)cc3)ccc12,False,0.4847316648562323,0.8867208489021423,True,False,0.40198918404591
Logistic Regression,ecfp4,1,ood_wrong_random_correct,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(/C=C/c3ccccc3)n2)n[nH]1,True,0.3643048566734001,0.7667118438261591,False,True,0.40240698715275897
Logistic Regression,ecfp4,2,both_correct,O=C(c1cccc(N2CCNC2=O)c1)N1CCc2ccccc2C1,False,0.4850940620196133,0.0873032639404866,True,True,0.3977907980791267
Logistic Regression,ecfp4,2,both_wrong,O=C(Nc1cc(Cl)ccc1Cl)c1cccc(N2CCCC2=O)c1,False,0.9023653836456216,0.5363430083906598,False,False,0.36602237525496173
Logistic Regression,ecfp4,2,ood_correct_random_wrong,CNC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1cccc(CN(C)C)c1)c1ccccc1,True,0.726967959496725,0.2639432604857532,True,False,0.4630246990109718
Logistic Regression,ecfp4,2,ood_wrong_random_correct,CN(C)Cc1cccc(N/C(=C2\C(=O)Nc3cc(C(=O)N(C)C)ccc32)c2ccccc2)c1,False,0.726967959496725,0.2344795108775677,False,True,0.4924884486191573
Logistic Regression,ecfp4,3,both_correct,Cc1csc(N(C(=O)c2ccc(-n3cncn3)c(F)c2)C2CC2)n1,False,0.1823053013230466,0.4147468239863651,True,True,0.2324415226633185
Logistic Regression,ecfp4,3,both_wrong,O=C(Nc1nc2cc(C(F)(F)F)cc(NC3CC3)n2n1)c1cccnc1,True,0.4409739676947952,0.2772683095176675,False,False,0.16370565817712768
Logistic Regression,ecfp4,3,ood_correct_random_wrong,CSCC(=O)N1CCc2[nH]nc(-c3cccc(F)c3)c2C1,False,0.3279923369465781,0.6504867011533985,True,False,0.32249436420682037
Logistic Regression,ecfp4,3,ood_wrong_random_correct,Cc1cnc(Cl)nc1-c1ccc(N(Cc2ccc(CNC(=O)C(F)F)cc2)C(=O)c2ccc(O)cc2O)cc1,False,0.7905361291942922,0.4245362611092478,False,True,0.36599986808504437
Logistic Regression,maccs,1,both_correct,CCc1nc(COc2ccccc2Br)no1,False,0.1047632464287014,0.4879698226098714,True,True,0.38320657618117
