model,fingerprint,protocol,fold,ccp_alpha,max_depth,effective_depth,n_nodes,n_leaves,n_features_used,used_feature_fraction,feature_min_depth_mean,feature_min_depth_std,inner_pr_auc,test_pr_auc,inner_test_gap,train_test_gap
Decision Tree,ECFP4,OOD holdout,1,0.001,20.0,20.0,199.0,100.0,90.0,0.087890625,10.033333333333333,4.517742799230607,0.39068944543983397,0.3182,0.07248944543983399,0.25700000000000006
Decision Tree,ECFP4,OOD holdout,2,0.0,15.0,15.0,165.0,83.0,60.0,0.05859375,5.95,3.2011716605018234,0.3781596729718331,0.2997,0.0784596729718331,0.40629999999999994
Decision Tree,ECFP4,OOD holdout,3,0.001,20.0,15.0,127.0,64.0,56.0,0.0546875,6.285714285714286,3.320468371191274,0.3723241266790944,0.2934,0.07892412667909443,0.46209999999999996
Decision Tree,ECFP4,Random shuffle,1,0.0,15.0,15.0,223.0,112.0,90.0,0.087890625,8.033333333333333,3.7459607875980527,0.5339989750964889,0.3107,0.22329897509648888,0.518
Decision Tree,ECFP4,Random shuffle,2,0.0,15.0,15.0,359.0,180.0,149.0,0.1455078125,8.315436241610739,3.337980035250889,0.48903628025233614,0.3009,0.18813628025233614,0.5005999999999999
Decision Tree,ECFP4,Random shuffle,3,0.0,15.0,15.0,159.0,80.0,74.0,0.072265625,7.162162162162162,3.35723111067144,0.42186060768379174,0.2806,0.14126060768379173,0.5658000000000001
Decision Tree,MACCS,OOD holdout,1,0.001,5.0,5.0,37.0,19.0,17.0,0.10179640718562874,2.764705882352941,1.2141039670911937,0.39686849760871695,0.3378,0.05906849760871696,0.17110000000000003
Decision Tree,MACCS,OOD holdout,2,0.0,5.0,5.0,57.0,29.0,26.0,0.15568862275449102,3.0,1.1094003924504583,0.38112214236792286,0.3459,0.03522214236792287,0.10000000000000003
Decision Tree,MACCS,OOD holdout,3,0.0,10.0,10.0,201.0,101.0,67.0,0.40119760479041916,5.552238805970149,2.2808978468462433,0.3904947464124505,0.3142,0.07629474641245054,0.21839999999999998
Decision Tree,MACCS,Random shuffle,1,0.0,10.0,10.0,201.0,101.0,65.0,0.38922155688622756,5.369230769230769,2.208857907253853,0.46667700144107416,0.4016,0.06507700144107414,0.19490000000000002
Decision Tree,MACCS,Random shuffle,2,0.0001,15.0,14.0,243.0,122.0,75.0,0.4491017964071856,6.573333333333333,2.8292441079239206,0.4985928502493422,0.3567,0.14189285024934217,0.27779999999999994
Decision Tree,MACCS,Random shuffle,3,0.001,20.0,14.0,147.0,74.0,56.0,0.33532934131736525,5.625,2.525318226057291,0.4646068383900053,0.3076,0.1570068383900053,0.26970000000000005
