model,fingerprint,protocol,fold_a,fold_b,fold_pair,top_k,n_overlap,overlap,overlap_percent
Decision Tree,ecfp4,OOD holdout,1,2,1 vs 2,10,2,0.2,20.0
Decision Tree,ecfp4,OOD holdout,1,2,1 vs 2,20,5,0.25,25.0
Decision Tree,ecfp4,OOD holdout,1,2,1 vs 2,50,11,0.22,22.0
Decision Tree,ecfp4,OOD holdout,1,3,1 vs 3,10,0,0.0,0.0
Decision Tree,ecfp4,OOD holdout,1,3,1 vs 3,20,2,0.1,10.0
Decision Tree,ecfp4,OOD holdout,1,3,1 vs 3,50,7,0.14,14.0
Decision Tree,ecfp4,OOD holdout,2,3,2 vs 3,10,3,0.3,30.0
Decision Tree,ecfp4,OOD holdout,2,3,2 vs 3,20,7,0.35,35.0
Decision Tree,ecfp4,OOD holdout,2,3,2 vs 3,50,16,0.32,32.0
Decision Tree,ecfp4,Random shuffle,1,2,1 vs 2,10,3,0.3,30.0
Decision Tree,ecfp4,Random shuffle,1,2,1 vs 2,20,4,0.2,20.0
Decision Tree,ecfp4,Random shuffle,1,2,1 vs 2,50,8,0.16,16.0
Decision Tree,ecfp4,Random shuffle,1,3,1 vs 3,10,2,0.2,20.0
Decision Tree,ecfp4,Random shuffle,1,3,1 vs 3,20,4,0.2,20.0
Decision Tree,ecfp4,Random shuffle,1,3,1 vs 3,50,10,0.2,20.0
Decision Tree,ecfp4,Random shuffle,2,3,2 vs 3,10,2,0.2,20.0
Decision Tree,ecfp4,Random shuffle,2,3,2 vs 3,20,3,0.15,15.0
Decision Tree,ecfp4,Random shuffle,2,3,2 vs 3,50,6,0.12,12.0
Decision Tree,maccs,OOD holdout,1,2,1 vs 2,10,1,0.1,10.0
Decision Tree,maccs,OOD holdout,1,2,1 vs 2,20,3,0.15,15.0
Decision Tree,maccs,OOD holdout,1,2,1 vs 2,50,28,0.58,58.0
Decision Tree,maccs,OOD holdout,1,3,1 vs 3,10,1,0.1,10.0
Decision Tree,maccs,OOD holdout,1,3,1 vs 3,20,3,0.15,15.0
Decision Tree,maccs,OOD holdout,1,3,1 vs 3,50,8,0.16,16.0
Decision Tree,maccs,OOD holdout,2,3,2 vs 3,10,2,0.2,20.0
Decision Tree,maccs,OOD holdout,2,3,2 vs 3,20,2,0.1,10.0
