dataset,model,model_short,fingerprint,protocol,fold,n_features,n_nonzero_raw_importance,n_positive_importance,n_negative_importance,total_importance_raw,total_importance_positive,cumulative_top_10,fraction_top_10,cumulative_top_20,fraction_top_20,cumulative_top_50,fraction_top_50,cumulative_top_100,fraction_top_100,cumulative_top_150,fraction_top_150,cumulative_top_200,fraction_top_200,dataset_order,model_order,fingerprint_order,protocol_order
drd2,Decision Tree,DT,ECFP4,OOD holdout,1,1024,6,4,2,0.0815564971506149,0.0869484279087667,0.0869484279087667,1.0,0.0869484279087667,1.0,0.0869484279087667,1.0,0.0869484279087667,1.0,0.0869484279087667,1.0,0.0869484279087667,1.0,0,0,0,0
drd2,Decision Tree,DT,ECFP4,OOD holdout,2,1024,78,41,37,0.05462315761282854,0.09698118221326896,0.0761825283828721,0.785539,0.0896808002094554,0.924724,0.09698118221326896,1.0,0.09698118221326896,1.0,0.09698118221326896,1.0,0.09698118221326896,1.0,0,0,0,0
drd2,Decision Tree,DT,ECFP4,OOD holdout,3,1024,43,25,18,0.028526106649913847,0.06027801022738438,0.05217988082568221,0.865654,0.059911442979985394,0.993919,0.06027801022738438,1.0,0.06027801022738438,1.0,0.06027801022738438,1.0,0.06027801022738438,1.0,0,0,0,0
drd2,Decision Tree,DT,ECFP4,Random shuffle,1,1024,64,35,29,0.011379399555969477,0.05846680321328336,0.0510057894433026,0.872389,0.0566493090425427,0.968914,0.05846680321328336,1.0,0.05846680321328336,1.0,0.05846680321328336,1.0,0.05846680321328336,1.0,0,0,0,1
drd2,Decision Tree,DT,ECFP4,Random shuffle,2,1024,74,53,21,0.15884927694705211,0.17421637449677668,0.13736507007713059,0.788474,0.1608755339896761,0.923424,0.17418919572320815,0.999844,0.17421637449677668,1.0,0.17421637449677668,1.0,0.17421637449677668,1.0,0,0,0,1
drd2,Decision Tree,DT,ECFP4,Random shuffle,3,1024,58,33,25,0.11241954879786463,0.13203268783406266,0.1135414179705365,0.859949,0.1298044907594681,0.983124,0.13203268783406266,1.0,0.13203268783406266,1.0,0.13203268783406266,1.0,0.13203268783406266,1.0,0,0,0,1
drd2,Logistic Regression,LR,ECFP4,OOD holdout,1,1024,379,379,0,0.9999999999999807,0.9999999999999807,0.0938651737062119,0.093865,0.16973910703475686,0.169739,0.3513050618794654,0.351305,0.5635055067858603,0.563506,0.7242617868082378,0.724262,0.8383113631862824,0.838311,0,1,0,0
drd2,Logistic Regression,LR,ECFP4,OOD holdout,2,1024,1022,1022,0,0.9999999999999521,0.9999999999999521,0.037837632760319,0.037838,0.0699656942730364,0.069966,0.15322148818326572,0.153221,0.26889837874397304,0.268898,0.3678893974345573,0.367889,0.4535111611151226,0.453511,0,1,0,0
drd2,Logistic Regression,LR,ECFP4,OOD holdout,3,1024,34,34,0,0.9999999999999983,0.9999999999999983,0.5940412620767197,0.594041,0.8525310093461557,0.852531,0.9999999999999983,1.0,0.9999999999999983,1.0,0.9999999999999983,1.0,0.9999999999999983,1.0,0,1,0,0
drd2,Logistic Regression,LR,ECFP4,Random shuffle,1,1024,1018,1018,0,0.9999999999999523,0.9999999999999523,0.036234079267357895,0.036234,0.06715739898187181,0.067157,0.1488179618926724,0.148818,0.26255255147034673,0.262553,0.35956858320292917,0.359569,0.4442408602598525,0.444241,0,1,0,1
